study_name,dataset_name,variable_name,instrument_name,question_name
soep-is,bio,l0057,soep-is-2012-aufwuchs,Q112
soep-is,bio,l0057,soep-is-2012-haupt,Q115
soep-is,bio,l0057,soep-is-2013-a,Q147
soep-is,bio,l0057,soep-is-2013-f,Q147
soep-is,bio,l0057,soep-is-2014-a,Q129
soep-is,bio,l0057,soep-is-2014-f,Q129
soep-is,bio,l0057,soep-is-2015,Q190
soep-is,bio,l0057,soep-is-2016-a,Q173
soep-is,bio,l0057,soep-is-2016-f,Q173
soep-is,bio,l0061,soep-is-2011,Q99_Q100
soep-is,bio,l0061,soep-is-2012-aufwuchs,Q99_Q100
soep-is,bio,l0061,soep-is-2012-haupt,Q111
soep-is,bio,l0061,soep-is-2013-a,Q142_Q143
soep-is,bio,l0061,soep-is-2013-f,Q142_143
soep-is,bio,l0061,soep-is-2014-a,Q126
soep-is,bio,l0061,soep-is-2014-f,Q126
soep-is,bio,l0061,soep-is-2015,Q187
soep-is,bio,l0061,soep-is-2016-a,Q170
soep-is,bio,l0061,soep-is-2016-f,Q170
soep-is,bio,l0062,soep-is-2011,Q99_Q100
soep-is,bio,l0062,soep-is-2012-aufwuchs,Q99_Q100
soep-is,bio,l0062,soep-is-2012-haupt,Q112
soep-is,bio,l0062,soep-is-2013-a,Q142_Q143
soep-is,bio,l0062,soep-is-2013-f,Q142_143
soep-is,bio,l0062,soep-is-2014-a,Q126
soep-is,bio,l0062,soep-is-2014-f,Q126
soep-is,bio,l0062,soep-is-2015,Q187
soep-is,bio,l0062,soep-is-2016-a,Q170
soep-is,bio,l0062,soep-is-2016-f,Q170
soep-is,bio,l0063,soep-is-2011,Q99_Q100
soep-is,bio,l0063,soep-is-2012-aufwuchs,Q99_Q100
soep-is,bio,l0063,soep-is-2012-haupt,Q112
soep-is,bio,l0063,soep-is-2013-a,Q142_Q143
soep-is,bio,l0063,soep-is-2013-f,Q142_143
soep-is,bio,l0063,soep-is-2014-a,Q126
soep-is,bio,l0063,soep-is-2014-f,Q126
soep-is,bio,l0063,soep-is-2015,Q187
soep-is,bio,l0063,soep-is-2016-a,Q170
soep-is,bio,l0063,soep-is-2016-f,Q170
soep-is,bio,l0065,soep-is-2011,Q99_Q100
soep-is,bio,l0065,soep-is-2012-aufwuchs,Q99_Q100
soep-is,bio,l0065,soep-is-2012-haupt,Q111
soep-is,bio,l0065,soep-is-2012-haupt,Q112
soep-is,bio,l0065,soep-is-2013-a,Q144
soep-is,bio,l0065,soep-is-2013-f,Q142_143
soep-is,bio,l0065,soep-is-2014-a,Q127
soep-is,bio,l0065,soep-is-2014-f,Q127
soep-is,bio,l0065,soep-is-2015,Q187
soep-is,bio,l0065,soep-is-2016-a,Q170
soep-is,bio,l0065,soep-is-2016-f,Q170
soep-is,bio,l0066,soep-is-2011,Q111
soep-is,bio,l0066,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0066,soep-is-2012-haupt,Q114
soep-is,bio,l0066,soep-is-2013-a,Q146
soep-is,bio,l0066,soep-is-2013-f,Q146
soep-is,bio,l0066,soep-is-2014-a,Q128
soep-is,bio,l0066,soep-is-2014-f,Q128
soep-is,bio,l0066,soep-is-2015,Q189
soep-is,bio,l0066,soep-is-2016-a,Q172
soep-is,bio,l0066,soep-is-2016-f,Q172
soep-is,bio,l0067,soep-is-2011,Q111
soep-is,bio,l0067,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0067,soep-is-2012-haupt,Q114
soep-is,bio,l0067,soep-is-2013-a,Q146
soep-is,bio,l0067,soep-is-2013-f,Q146
soep-is,bio,l0067,soep-is-2014-a,Q128
soep-is,bio,l0067,soep-is-2014-f,Q128
soep-is,bio,l0067,soep-is-2015,Q189
soep-is,bio,l0067,soep-is-2016-a,Q172
soep-is,bio,l0067,soep-is-2016-f,Q172
soep-is,bio,l0068,soep-is-2011,Q111
soep-is,bio,l0068,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0068,soep-is-2012-haupt,Q114
soep-is,bio,l0068,soep-is-2013-a,Q146
soep-is,bio,l0068,soep-is-2013-f,Q146
soep-is,bio,l0068,soep-is-2014-a,Q128
soep-is,bio,l0068,soep-is-2014-f,Q128
soep-is,bio,l0068,soep-is-2015,Q189
soep-is,bio,l0068,soep-is-2016-a,Q172
soep-is,bio,l0068,soep-is-2016-f,Q172
soep-is,bio,l0069,soep-is-2011,Q111
soep-is,bio,l0069,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0069,soep-is-2012-haupt,Q114
soep-is,bio,l0069,soep-is-2013-a,Q146
soep-is,bio,l0069,soep-is-2013-f,Q146
soep-is,bio,l0069,soep-is-2014-a,Q128
soep-is,bio,l0069,soep-is-2014-f,Q128
soep-is,bio,l0069,soep-is-2015,Q189
soep-is,bio,l0069,soep-is-2016-a,Q172
soep-is,bio,l0069,soep-is-2016-f,Q172
soep-is,bio,l0070,soep-is-2011,Q111
soep-is,bio,l0070,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0070,soep-is-2012-haupt,Q114
soep-is,bio,l0070,soep-is-2013-a,Q146
soep-is,bio,l0070,soep-is-2013-f,Q146
soep-is,bio,l0070,soep-is-2014-a,Q128
soep-is,bio,l0070,soep-is-2014-f,Q128
soep-is,bio,l0070,soep-is-2015,Q189
soep-is,bio,l0070,soep-is-2016-a,Q172
soep-is,bio,l0070,soep-is-2016-f,Q172
soep-is,bio,l0071,soep-is-2011,Q111
soep-is,bio,l0071,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0071,soep-is-2012-haupt,Q114
soep-is,bio,l0071,soep-is-2013-a,Q146
soep-is,bio,l0071,soep-is-2013-f,Q146
soep-is,bio,l0071,soep-is-2014-a,Q128
soep-is,bio,l0071,soep-is-2014-f,Q128
soep-is,bio,l0071,soep-is-2015,Q189
soep-is,bio,l0071,soep-is-2016-a,Q172
soep-is,bio,l0071,soep-is-2016-f,Q172
soep-is,bio,l0072,soep-is-2011,Q111
soep-is,bio,l0072,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0072,soep-is-2012-haupt,Q114
soep-is,bio,l0072,soep-is-2013-a,Q146
soep-is,bio,l0072,soep-is-2013-f,Q146
soep-is,bio,l0072,soep-is-2014-a,Q128
soep-is,bio,l0072,soep-is-2014-f,Q128
soep-is,bio,l0072,soep-is-2015,Q189
soep-is,bio,l0072,soep-is-2016-a,Q172
soep-is,bio,l0072,soep-is-2016-f,Q172
soep-is,bio,l0073,soep-is-2011,Q111
soep-is,bio,l0073,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0073,soep-is-2012-haupt,Q114
soep-is,bio,l0073,soep-is-2013-a,Q146
soep-is,bio,l0073,soep-is-2013-f,Q146
soep-is,bio,l0073,soep-is-2014-a,Q128
soep-is,bio,l0073,soep-is-2014-f,Q128
soep-is,bio,l0073,soep-is-2015,Q189
soep-is,bio,l0073,soep-is-2016-a,Q172
soep-is,bio,l0073,soep-is-2016-f,Q172
soep-is,bio,l0074,soep-is-2011,Q111
soep-is,bio,l0074,soep-is-2012-aufwuchs,Q111
soep-is,bio,l0074,soep-is-2012-haupt,Q114
soep-is,bio,l0074,soep-is-2013-f,Q146
soep-is,bio,l0074,soep-is-2014-a,Q128
soep-is,bio,l0074,soep-is-2015,Q189
soep-is,bio,l0074,soep-is-2016-a,Q172
soep-is,bio,l0074,soep-is-2016-f,Q172
soep-is,bio,l0077,soep-is-2011,Q205
soep-is,bio,l0077,soep-is-2012-haupt,Q250
soep-is,bio,l0077,soep-is-2013-a,Q308
soep-is,bio,l0077,soep-is-2013-f,Q308
soep-is,bio,l0077,soep-is-2014-a,Q277
soep-is,bio,l0077,soep-is-2014-f,Q277
soep-is,bio,l0077,soep-is-2015,Q347
soep-is,bio,l0077,soep-is-2016-a,Q426
soep-is,bio,l0077,soep-is-2016-f,Q426
soep-is,bio,l0084,soep-is-2011,Q206
soep-is,bio,l0084,soep-is-2012-aufwuchs,Q206
soep-is,bio,l0084,soep-is-2012-haupt,Q251
soep-is,bio,l0084,soep-is-2013-a,Q309
soep-is,bio,l0084,soep-is-2013-f,Q309
soep-is,bio,l0084,soep-is-2014-a,Q278
soep-is,bio,l0084,soep-is-2014-f,Q278
soep-is,bio,l0084,soep-is-2015,Q348
soep-is,bio,l0084,soep-is-2016-a,Q427
soep-is,bio,l0084,soep-is-2016-f,Q427
soep-is,bio,l0085,soep-is-2011,Q217
soep-is,bio,l0085,soep-is-2012-aufwuchs,Q217
soep-is,bio,l0085,soep-is-2012-haupt,Q262
soep-is,bio,l0085,soep-is-2013-a,Q320
soep-is,bio,l0085,soep-is-2013-f,Q320
soep-is,bio,l0085,soep-is-2014-a,Q289
soep-is,bio,l0085,soep-is-2014-f,Q289
soep-is,bio,l0085,soep-is-2015,Q359
soep-is,bio,l0085,soep-is-2016-a,Q438
soep-is,bio,l0085,soep-is-2016-f,Q438
soep-is,bio,l0086,soep-is-2011,Q207
soep-is,bio,l0086,soep-is-2012-aufwuchs,Q207
soep-is,bio,l0086,soep-is-2012-haupt,Q252
soep-is,bio,l0086,soep-is-2013-a,Q310
soep-is,bio,l0086,soep-is-2013-f,Q310
soep-is,bio,l0086,soep-is-2014-a,Q279
soep-is,bio,l0086,soep-is-2014-f,Q279
soep-is,bio,l0086,soep-is-2015,Q349
soep-is,bio,l0086,soep-is-2016-a,Q428
soep-is,bio,l0086,soep-is-2016-f,Q428
soep-is,bio,l0087,soep-is-2011,Q218
soep-is,bio,l0087,soep-is-2012-aufwuchs,Q218
soep-is,bio,l0087,soep-is-2012-haupt,Q263
soep-is,bio,l0087,soep-is-2013-a,Q321
soep-is,bio,l0087,soep-is-2013-f,Q321
soep-is,bio,l0087,soep-is-2014-a,Q290
soep-is,bio,l0087,soep-is-2014-f,Q290
soep-is,bio,l0087,soep-is-2015,Q360
soep-is,bio,l0087,soep-is-2016-a,Q439
soep-is,bio,l0087,soep-is-2016-f,Q439
soep-is,bio,l0088,soep-is-2011,Q208
soep-is,bio,l0088,soep-is-2012-aufwuchs,Q208
soep-is,bio,l0088,soep-is-2012-haupt,Q253
soep-is,bio,l0088,soep-is-2013-a,Q311
soep-is,bio,l0088,soep-is-2013-f,Q311
soep-is,bio,l0088,soep-is-2014-a,Q280
soep-is,bio,l0088,soep-is-2014-f,Q280
soep-is,bio,l0088,soep-is-2015,Q350
soep-is,bio,l0088,soep-is-2016-a,Q429
soep-is,bio,l0088,soep-is-2016-f,Q429
soep-is,bio,l0089,soep-is-2011,Q219
soep-is,bio,l0089,soep-is-2012-aufwuchs,Q219
soep-is,bio,l0089,soep-is-2012-haupt,Q264
soep-is,bio,l0089,soep-is-2013-a,Q322
soep-is,bio,l0089,soep-is-2013-f,Q322
soep-is,bio,l0089,soep-is-2014-a,Q291
soep-is,bio,l0089,soep-is-2014-f,Q291
soep-is,bio,l0089,soep-is-2015,Q361
soep-is,bio,l0089,soep-is-2016-a,Q440
soep-is,bio,l0089,soep-is-2016-f,Q440
soep-is,bio,l0090,soep-is-2011,Q209
soep-is,bio,l0090,soep-is-2012-aufwuchs,Q209
soep-is,bio,l0090,soep-is-2012-haupt,Q254
soep-is,bio,l0090,soep-is-2013-a,Q312
soep-is,bio,l0090,soep-is-2013-f,Q312
soep-is,bio,l0090,soep-is-2014-a,Q281
soep-is,bio,l0090,soep-is-2014-f,Q281
soep-is,bio,l0090,soep-is-2015,Q351
soep-is,bio,l0090,soep-is-2016-a,Q430
soep-is,bio,l0090,soep-is-2016-f,Q430
soep-is,bio,l0091,soep-is-2011,Q220
soep-is,bio,l0091,soep-is-2012-aufwuchs,Q220
soep-is,bio,l0091,soep-is-2012-haupt,Q265
soep-is,bio,l0091,soep-is-2013-a,Q323
soep-is,bio,l0091,soep-is-2013-f,Q323
soep-is,bio,l0091,soep-is-2014-a,Q292
soep-is,bio,l0091,soep-is-2014-f,Q292
soep-is,bio,l0091,soep-is-2015,Q362
soep-is,bio,l0091,soep-is-2016-a,Q441
soep-is,bio,l0091,soep-is-2016-f,Q441
soep-is,bio,l0110,soep-is-2011,Q210
soep-is,bio,l0110,soep-is-2012-aufwuchs,Q210
soep-is,bio,l0110,soep-is-2012-haupt,Q255
soep-is,bio,l0110,soep-is-2013-a,Q313
soep-is,bio,l0110,soep-is-2013-f,Q313
soep-is,bio,l0110,soep-is-2014-a,Q282
soep-is,bio,l0110,soep-is-2014-f,Q282
soep-is,bio,l0110,soep-is-2015,Q352
soep-is,bio,l0110,soep-is-2016-a,Q431
soep-is,bio,l0110,soep-is-2016-f,Q431
soep-is,bio,l0111,soep-is-2011,Q221
soep-is,bio,l0111,soep-is-2012-aufwuchs,Q221
soep-is,bio,l0111,soep-is-2012-haupt,Q266
soep-is,bio,l0111,soep-is-2013-a,Q324
soep-is,bio,l0111,soep-is-2013-f,Q324
soep-is,bio,l0111,soep-is-2014-a,Q293
soep-is,bio,l0111,soep-is-2014-f,Q293
soep-is,bio,l0111,soep-is-2015,Q363
soep-is,bio,l0111,soep-is-2016-a,Q442
soep-is,bio,l0111,soep-is-2016-f,Q442
soep-is,bio,l0114,soep-is-2011,Q212
soep-is,bio,l0114,soep-is-2012-aufwuchs,Q212
soep-is,bio,l0114,soep-is-2012-haupt,Q257
soep-is,bio,l0114,soep-is-2013-a,Q315
soep-is,bio,l0114,soep-is-2013-f,Q315
soep-is,bio,l0114,soep-is-2014-a,Q284
soep-is,bio,l0114,soep-is-2014-f,Q284
soep-is,bio,l0114,soep-is-2015,Q354
soep-is,bio,l0114,soep-is-2016-a,Q433
soep-is,bio,l0114,soep-is-2016-f,Q433
soep-is,bio,l0115,soep-is-2011,Q223
soep-is,bio,l0115,soep-is-2012-aufwuchs,Q223
soep-is,bio,l0115,soep-is-2012-haupt,Q268
soep-is,bio,l0115,soep-is-2013-a,Q326
soep-is,bio,l0115,soep-is-2013-f,Q326
soep-is,bio,l0115,soep-is-2014-a,Q295
soep-is,bio,l0115,soep-is-2014-f,Q295
soep-is,bio,l0115,soep-is-2015,Q365
soep-is,bio,l0115,soep-is-2016-a,Q444
soep-is,bio,l0115,soep-is-2016-f,Q444
soep-is,bio,l0116,soep-is-2011,Q213
soep-is,bio,l0116,soep-is-2012-aufwuchs,Q213
soep-is,bio,l0116,soep-is-2012-haupt,Q258
soep-is,bio,l0116,soep-is-2013-a,Q316
soep-is,bio,l0116,soep-is-2013-f,Q316
soep-is,bio,l0116,soep-is-2014-a,Q285
soep-is,bio,l0116,soep-is-2014-f,Q285
soep-is,bio,l0116,soep-is-2015,Q355
soep-is,bio,l0116,soep-is-2016-a,Q434
soep-is,bio,l0116,soep-is-2016-f,Q434
soep-is,bio,l0117,soep-is-2011,Q224
soep-is,bio,l0117,soep-is-2012-aufwuchs,Q224
soep-is,bio,l0117,soep-is-2012-haupt,Q269
soep-is,bio,l0117,soep-is-2013-a,Q327
soep-is,bio,l0117,soep-is-2013-f,Q327
soep-is,bio,l0117,soep-is-2014-a,Q296
soep-is,bio,l0117,soep-is-2014-f,Q296
soep-is,bio,l0117,soep-is-2015,Q366
soep-is,bio,l0117,soep-is-2016-a,Q445
soep-is,bio,l0117,soep-is-2016-f,Q445
soep-is,bio,l0118,soep-is-2011,Q214
soep-is,bio,l0118,soep-is-2012-aufwuchs,Q214
soep-is,bio,l0118,soep-is-2012-haupt,Q259
soep-is,bio,l0118,soep-is-2013-a,Q317
soep-is,bio,l0118,soep-is-2013-f,Q317
soep-is,bio,l0118,soep-is-2014-a,Q286
soep-is,bio,l0118,soep-is-2014-f,Q286
soep-is,bio,l0118,soep-is-2015,Q356
soep-is,bio,l0118,soep-is-2016-a,Q435
soep-is,bio,l0118,soep-is-2016-f,Q435
soep-is,bio,l0119,soep-is-2011,Q225
soep-is,bio,l0119,soep-is-2012-aufwuchs,Q225
soep-is,bio,l0119,soep-is-2012-haupt,Q270
soep-is,bio,l0119,soep-is-2013-a,Q328
soep-is,bio,l0119,soep-is-2013-f,Q328
soep-is,bio,l0119,soep-is-2014-a,Q297
soep-is,bio,l0119,soep-is-2014-f,Q297
soep-is,bio,l0119,soep-is-2015,Q367
soep-is,bio,l0119,soep-is-2016-a,Q446
soep-is,bio,l0119,soep-is-2016-f,Q446
soep-is,bio,l0120,soep-is-2011,Q215
soep-is,bio,l0120,soep-is-2012-aufwuchs,Q215
soep-is,bio,l0120,soep-is-2012-haupt,Q260
soep-is,bio,l0120,soep-is-2013-a,Q318
soep-is,bio,l0120,soep-is-2013-f,Q318
soep-is,bio,l0120,soep-is-2014-a,Q287
soep-is,bio,l0120,soep-is-2014-f,Q287
soep-is,bio,l0120,soep-is-2015,Q357
soep-is,bio,l0120,soep-is-2016-a,Q436
soep-is,bio,l0120,soep-is-2016-f,Q436
soep-is,bio,l0121,soep-is-2011,Q226
soep-is,bio,l0121,soep-is-2012-aufwuchs,Q226
soep-is,bio,l0121,soep-is-2012-haupt,Q271
soep-is,bio,l0121,soep-is-2013-a,Q329
soep-is,bio,l0121,soep-is-2013-f,Q329
soep-is,bio,l0121,soep-is-2014-a,Q298
soep-is,bio,l0121,soep-is-2014-f,Q298
soep-is,bio,l0121,soep-is-2015,Q368
soep-is,bio,l0121,soep-is-2016-a,Q447
soep-is,bio,l0121,soep-is-2016-f,Q447
soep-is,bio,l0122,soep-is-2011,Q211
soep-is,bio,l0122,soep-is-2012-aufwuchs,Q211
soep-is,bio,l0122,soep-is-2012-haupt,Q256
soep-is,bio,l0122,soep-is-2013-a,Q314
soep-is,bio,l0122,soep-is-2013-f,Q314
soep-is,bio,l0122,soep-is-2014-a,Q283
soep-is,bio,l0122,soep-is-2014-f,Q283
soep-is,bio,l0122,soep-is-2015,Q353
soep-is,bio,l0122,soep-is-2016-a,Q432
soep-is,bio,l0122,soep-is-2016-f,Q432
soep-is,bio,l0123,soep-is-2011,Q222
soep-is,bio,l0123,soep-is-2012-aufwuchs,Q222
soep-is,bio,l0123,soep-is-2012-haupt,Q267
soep-is,bio,l0123,soep-is-2013-a,Q325
soep-is,bio,l0123,soep-is-2013-f,Q325
soep-is,bio,l0123,soep-is-2014-a,Q294
soep-is,bio,l0123,soep-is-2014-f,Q294
soep-is,bio,l0123,soep-is-2015,Q364
soep-is,bio,l0123,soep-is-2016-a,Q443
soep-is,bio,l0123,soep-is-2016-f,Q443
soep-is,bio,l0182,soep-is-2011,Q155b
soep-is,bio,l0182,soep-is-2012-aufwuchs,Q155b
soep-is,bio,l0182,soep-is-2012-haupt,Q166
soep-is,bio,l0182,soep-is-2013-a,Q210
soep-is,bio,l0182,soep-is-2013-f,Q210
soep-is,bio,l0182,soep-is-2014-a,Q199
soep-is,bio,l0182,soep-is-2014-f,Q199
soep-is,bio,l0182,soep-is-2015,Q256
soep-is,bio,l0182,soep-is-2016-a,Q314
soep-is,bio,l0182,soep-is-2016-f,Q314
soep-is,bio,l0183,soep-is-2011,Q150
soep-is,bio,l0183,soep-is-2012-aufwuchs,Q150
soep-is,bio,l0183,soep-is-2012-haupt,Q160
soep-is,bio,l0183,soep-is-2013-a,Q204
soep-is,bio,l0183,soep-is-2013-f,Q204
soep-is,bio,l0183,soep-is-2014-f,Q193
soep-is,bio,l0183,soep-is-2015,Q250
soep-is,bio,l0183,soep-is-2016-a,Q308
soep-is,bio,l0183,soep-is-2016-f,Q308
soep-is,bio,l0186,soep-is-2011,Q151
soep-is,bio,l0186,soep-is-2012-aufwuchs,Q151
soep-is,bio,l0186,soep-is-2012-haupt,Q161
soep-is,bio,l0186,soep-is-2013-a,Q205
soep-is,bio,l0186,soep-is-2013-f,Q205
soep-is,bio,l0186,soep-is-2014-a,Q194
soep-is,bio,l0186,soep-is-2014-f,Q194
soep-is,bio,l0186,soep-is-2015,Q251
soep-is,bio,l0186,soep-is-2016-a,Q309
soep-is,bio,l0186,soep-is-2016-f,Q309
soep-is,bio,l0188,soep-is-2011,Q155
soep-is,bio,l0188,soep-is-2012-aufwuchs,Q155
soep-is,bio,l0188,soep-is-2012-haupt,Q165
soep-is,bio,l0188,soep-is-2013-f,Q209
soep-is,bio,l0188,soep-is-2014-a,Q198
soep-is,bio,l0188,soep-is-2014-f,Q198
soep-is,bio,l0188,soep-is-2015,Q255
soep-is,bio,l0188,soep-is-2016-a,Q313
soep-is,bio,l0188,soep-is-2016-f,Q313
soep-is,bio,l0191,soep-is-2011,Q152
soep-is,bio,l0191,soep-is-2011,Q153
soep-is,bio,l0191,soep-is-2011,Q154
soep-is,bio,l0191,soep-is-2012-aufwuchs,Q152
soep-is,bio,l0191,soep-is-2012-aufwuchs,Q153
soep-is,bio,l0191,soep-is-2012-aufwuchs,Q154
soep-is,bio,l0191,soep-is-2012-haupt,Q162
soep-is,bio,l0191,soep-is-2012-haupt,Q163
soep-is,bio,l0191,soep-is-2012-haupt,Q164
soep-is,bio,l0191,soep-is-2013-a,Q204
soep-is,bio,l0191,soep-is-2013-a,Q206
soep-is,bio,l0191,soep-is-2013-a,Q207
soep-is,bio,l0191,soep-is-2013-f,Q206
soep-is,bio,l0191,soep-is-2013-f,Q207
soep-is,bio,l0191,soep-is-2013-f,Q208
soep-is,bio,l0191,soep-is-2014-a,Q195
soep-is,bio,l0191,soep-is-2014-a,Q196
soep-is,bio,l0191,soep-is-2014-a,Q197
soep-is,bio,l0191,soep-is-2014-f,Q195
soep-is,bio,l0191,soep-is-2014-f,Q197
soep-is,bio,l0191,soep-is-2015,Q250
soep-is,bio,l0191,soep-is-2015,Q254
soep-is,bio,l0191,soep-is-2016-a,Q308
soep-is,bio,l0191,soep-is-2016-a,Q310
soep-is,bio,l0191,soep-is-2016-a,Q311
soep-is,bio,l0191,soep-is-2016-a,Q312
soep-is,bio,l0191,soep-is-2016-f,Q308
soep-is,bio,l0191,soep-is-2016-f,Q312
soep-is,bio,l0197,soep-is-2011,Q156
soep-is,bio,l0197,soep-is-2012-aufwuchs,Q156
soep-is,bio,l0197,soep-is-2012-haupt,Q167
soep-is,bio,l0197,soep-is-2013-a,Q212
soep-is,bio,l0197,soep-is-2013-f,Q212
soep-is,bio,l0197,soep-is-2014-a,Q200
soep-is,bio,l0197,soep-is-2014-f,Q200
soep-is,bio,l0197,soep-is-2015,Q257
soep-is,bio,l0197,soep-is-2016-a,Q315
soep-is,bio,l0197,soep-is-2016-f,Q315
soep-is,bio,l0212,soep-is-2011,Q157
soep-is,bio,l0212,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0212,soep-is-2012-haupt,Q168
soep-is,bio,l0212,soep-is-2013-a,Q213
soep-is,bio,l0212,soep-is-2013-f,Q213
soep-is,bio,l0212,soep-is-2014-a,Q201
soep-is,bio,l0212,soep-is-2014-f,Q201
soep-is,bio,l0212,soep-is-2015,Q258
soep-is,bio,l0212,soep-is-2016-a,Q316
soep-is,bio,l0214,soep-is-2011,Q157
soep-is,bio,l0214,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0214,soep-is-2012-haupt,Q168
soep-is,bio,l0214,soep-is-2013-a,Q213
soep-is,bio,l0214,soep-is-2013-f,Q213
soep-is,bio,l0214,soep-is-2014-a,Q201
soep-is,bio,l0214,soep-is-2014-f,Q201
soep-is,bio,l0214,soep-is-2015,Q258
soep-is,bio,l0214,soep-is-2016-a,Q316
soep-is,bio,l0216,soep-is-2011,Q157
soep-is,bio,l0216,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0216,soep-is-2012-haupt,Q168
soep-is,bio,l0216,soep-is-2013-a,Q213
soep-is,bio,l0216,soep-is-2013-f,Q213
soep-is,bio,l0216,soep-is-2014-a,Q201
soep-is,bio,l0216,soep-is-2014-f,Q201
soep-is,bio,l0216,soep-is-2015,Q258
soep-is,bio,l0216,soep-is-2016-a,Q316
soep-is,bio,l0216,soep-is-2016-f,Q316
soep-is,bio,l0218,soep-is-2011,Q157
soep-is,bio,l0218,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0218,soep-is-2012-haupt,Q168
soep-is,bio,l0218,soep-is-2013-a,Q213
soep-is,bio,l0218,soep-is-2013-f,Q213
soep-is,bio,l0218,soep-is-2014-a,Q201
soep-is,bio,l0218,soep-is-2014-f,Q201
soep-is,bio,l0218,soep-is-2015,Q258
soep-is,bio,l0218,soep-is-2016-a,Q316
soep-is,bio,l0218,soep-is-2016-f,Q316
soep-is,bio,l0220,soep-is-2011,Q157
soep-is,bio,l0220,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0220,soep-is-2012-haupt,Q168
soep-is,bio,l0220,soep-is-2013-a,Q213
soep-is,bio,l0220,soep-is-2013-f,Q213
soep-is,bio,l0220,soep-is-2014-a,Q201
soep-is,bio,l0220,soep-is-2014-f,Q201
soep-is,bio,l0220,soep-is-2015,Q258
soep-is,bio,l0220,soep-is-2016-a,Q316
soep-is,bio,l0222,soep-is-2011,Q157
soep-is,bio,l0222,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0222,soep-is-2012-haupt,Q168
soep-is,bio,l0222,soep-is-2013-a,Q213
soep-is,bio,l0222,soep-is-2013-f,Q213
soep-is,bio,l0222,soep-is-2014-a,Q201
soep-is,bio,l0222,soep-is-2014-f,Q201
soep-is,bio,l0222,soep-is-2015,Q258
soep-is,bio,l0222,soep-is-2016-a,Q316
soep-is,bio,l0224,soep-is-2011,Q157
soep-is,bio,l0224,soep-is-2011,Q158
soep-is,bio,l0224,soep-is-2012-aufwuchs,Q157
soep-is,bio,l0224,soep-is-2012-aufwuchs,Q158
soep-is,bio,l0224,soep-is-2012-haupt,Q168
soep-is,bio,l0224,soep-is-2012-haupt,Q169
soep-is,bio,l0224,soep-is-2013-a,Q213
soep-is,bio,l0224,soep-is-2013-f,Q213
soep-is,bio,l0224,soep-is-2013-f,Q214
soep-is,bio,l0224,soep-is-2014-a,Q201
soep-is,bio,l0224,soep-is-2014-a,Q202
