study_name,dataset_name,variable_name,instrument_name,question_name
soep-is,bio,hid,soep-is-2015,W02
soep-is,bio,l0013,soep-is-2011,Q67
soep-is,bio,l0013,soep-is-2012-aufwuchs,Q67
soep-is,bio,l0013,soep-is-2012-haupt,Q72
soep-is,bio,l0013,soep-is-2013-a,Q108
soep-is,bio,l0013,soep-is-2013-f,Q108
soep-is,bio,l0013,soep-is-2014-a,Q94
soep-is,bio,l0013,soep-is-2014-f,Q94
soep-is,bio,l0013,soep-is-2015,Q153
soep-is,bio,l0013,soep-is-2016-a,Q131
soep-is,bio,l0013,soep-is-2016-f,Q131
soep-is,bio,l0014,soep-is-2011,Q70
soep-is,bio,l0014,soep-is-2012-aufwuchs,Q70
soep-is,bio,l0014,soep-is-2012-haupt,Q75
soep-is,bio,l0014,soep-is-2013-a,Q111
soep-is,bio,l0014,soep-is-2013-f,Q111
soep-is,bio,l0016,soep-is-2011,Q68
soep-is,bio,l0016,soep-is-2012-aufwuchs,Q68
soep-is,bio,l0016,soep-is-2012-haupt,Q73
soep-is,bio,l0016,soep-is-2013-a,Q109
soep-is,bio,l0016,soep-is-2013-f,Q109
soep-is,bio,l0016,soep-is-2014-a,Q95
soep-is,bio,l0016,soep-is-2014-f,Q95
soep-is,bio,l0016,soep-is-2015,Q154
soep-is,bio,l0016,soep-is-2016-a,Q132
soep-is,bio,l0016,soep-is-2016-f,Q132
soep-is,bio,l0019,soep-is-2011,Q69
soep-is,bio,l0019,soep-is-2012-aufwuchs,Q69
soep-is,bio,l0019,soep-is-2012-haupt,Q74
soep-is,bio,l0019,soep-is-2013-a,Q110
soep-is,bio,l0019,soep-is-2013-f,Q110
soep-is,bio,l0019,soep-is-2014-a,Q96
soep-is,bio,l0019,soep-is-2014-f,Q96
soep-is,bio,l0019,soep-is-2015,Q155
soep-is,bio,l0019,soep-is-2016-a,Q133
soep-is,bio,l0019,soep-is-2016-f,Q133
soep-is,bio,l0053,soep-is-2016-a,Q136
soep-is,bio,l0057,soep-is-2011,Q112
