study,name,label,label_de,description,description_de
soep-is,gen,generated,generiert,,
soep-is,org/gross,gross,brutto,,
soep-is,org/net,questionnaires,erfragt,,
soep-is,survey,weights,Gewichte,,
soep-is,track,tracking,Pfad,,
