study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,q12,6,1991 to 2000,1991 bis 2000
soep-is,soep-is-2011,q12,7,2001 and later,2001 und später
soep-is,soep-is-2011,q12,9,No answer,Keine Angabe
soep-is,soep-is-2011,q121,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q121,1,U1,U1
soep-is,soep-is-2011,q121,2,U2,U2
soep-is,soep-is-2011,q121,3,U3,U3
soep-is,soep-is-2011,q121,4,U4,U4
soep-is,soep-is-2011,q121,5,U5,U5
soep-is,soep-is-2011,q121,6,U6,U6
soep-is,soep-is-2011,q121,7,U7,U7
soep-is,soep-is-2011,q121,8,U8,U8
soep-is,soep-is-2011,q121,9,U9,U9
soep-is,soep-is-2011,q121,10,Not undergone any of these examinations,Es wurde keine dieser Untersuchungen durchgeführt
soep-is,soep-is-2011,q122,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q122,1,"Yes, in one of the U-screenings","Ja, bei der U-Untersuchung"
soep-is,soep-is-2011,q122,2,"Yes, in another check-up","Ja, bei einer anderen Untersuchung"
soep-is,soep-is-2011,q122,3,No,Nein
soep-is,soep-is-2011,q124,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q124,1,Yes,Ja
soep-is,soep-is-2011,q124,2,No,Nein
soep-is,soep-is-2011,q127,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q127,1,Yes,Ja
soep-is,soep-is-2011,q127,2,No,Nein
soep-is,soep-is-2011,q130,1,1  Absolutly does not apply,1 Trifft überhaupt nicht zu
soep-is,soep-is-2011,q130,2,2,2
soep-is,soep-is-2011,q130,3,3,3
soep-is,soep-is-2011,q130,4,4,4
soep-is,soep-is-2011,q130,5,5,5
soep-is,soep-is-2011,q130,6,6,6
soep-is,soep-is-2011,q130,7,7  Fully applies,7 Trifft voll und ganz zu
soep-is,soep-is-2011,q1301,98,No,Nein
soep-is,soep-is-2011,q1301,99,No answer,Keine Angabe
soep-is,soep-is-2011,q1301,1972,1972,1972
soep-is,soep-is-2011,q1301,1973,1973,1973
soep-is,soep-is-2011,q1301,1974,1974,1974
soep-is,soep-is-2011,q1301,1975,1975,1975
soep-is,soep-is-2011,q1301,1976,1976,1976
soep-is,soep-is-2011,q1301,1977,1977,1977
soep-is,soep-is-2011,q1301,1978,1978,1978
soep-is,soep-is-2011,q1301,1979,1979,1979
soep-is,soep-is-2011,q1301,1980,1980,1980
soep-is,soep-is-2011,q1302,98,No,Nein
soep-is,soep-is-2011,q1302,99,No answer,Keine Angabe
soep-is,soep-is-2011,q1302,1981,1981,1981
soep-is,soep-is-2011,q1302,1982,1982,1982
soep-is,soep-is-2011,q1302,1983,1983,1983
soep-is,soep-is-2011,q1302,1984,1984,1984
soep-is,soep-is-2011,q1302,1985,1985,1985
soep-is,soep-is-2011,q1302,1986,1986,1986
soep-is,soep-is-2011,q1302,1987,1987,1987
soep-is,soep-is-2011,q1302,1988,1988,1988
soep-is,soep-is-2011,q1302,1989,1989,1989
soep-is,soep-is-2011,q1302,1990,1990,1990
soep-is,soep-is-2011,q1303,98,No,Nein
soep-is,soep-is-2011,q1303,99,No answer,Keine Angabe
soep-is,soep-is-2011,q1303,1991,1991,1991
soep-is,soep-is-2011,q1303,1992,1992,1992
soep-is,soep-is-2011,q1303,1993,1993,1993
soep-is,soep-is-2011,q1303,1994,1994,1994
soep-is,soep-is-2011,q1303,1995,1995,1995
soep-is,soep-is-2011,q1303,1996,1996,1996
soep-is,soep-is-2011,q1303,1997,1997,1997
soep-is,soep-is-2011,q1303,1998,1998,1998
soep-is,soep-is-2011,q1303,1999,1999,1999
soep-is,soep-is-2011,q1303,2000,2000,2000
soep-is,soep-is-2011,q1304,98,No,Nein
soep-is,soep-is-2011,q1304,99,No answer,Keine Angabe
soep-is,soep-is-2011,q1304,2001,2001,2001
soep-is,soep-is-2011,q1304,2002,2002,2002
soep-is,soep-is-2011,q1304,2003,2003,2003
soep-is,soep-is-2011,q1304,2004,2004,2004
soep-is,soep-is-2011,q1304,2005,2005,2005
soep-is,soep-is-2011,q1304,2006,2006,2006
soep-is,soep-is-2011,q1304,2007,2007,2007
soep-is,soep-is-2011,q1304,2008,2008,2008
soep-is,soep-is-2011,q1304,2009,2009,2009
soep-is,soep-is-2011,q1304,2010,2010,2010
soep-is,soep-is-2011,q1304,2011,2011,2011
soep-is,soep-is-2011,q132,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q132,1,Yes,Ja
soep-is,soep-is-2011,q132,2,No,Nein
soep-is,soep-is-2011,q134,1,1,1
soep-is,soep-is-2011,q134,2,2,2
soep-is,soep-is-2011,q134,3,3,3
soep-is,soep-is-2011,q134,4,4,4
soep-is,soep-is-2011,q134,5,5,5
soep-is,soep-is-2011,q134,6,6,6
soep-is,soep-is-2011,q134,7,7,7
soep-is,soep-is-2011,q134,8,8,8
soep-is,soep-is-2011,q134,9,9,9
soep-is,soep-is-2011,q134,10,10,10
soep-is,soep-is-2011,q134,11,11,11
soep-is,soep-is-2011,q135,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q135,0,Does not attend school,besucht keine Schule
soep-is,soep-is-2011,q135,1,Primary school (including transitional grades/ Förderstufe),"Grundschule, inkl. Förderstufe"
