study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,DRM12_IS_W4,q6drm_14,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_14so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_15,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_15so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_16,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_16so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_17,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_17so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_18,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_18so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_19,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_19so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_1so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_2,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_20,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_20so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_21,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_21so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_22,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_22so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_23,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_23so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_24,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_24so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_25,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_25so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_26,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_26so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_27,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_27so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_28,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_28so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_29,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_29so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_2so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_3,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_30,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_30so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_3so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_4,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_4so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_5,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_5so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_6,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_6so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_7,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_7so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_8,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_8so,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_9,,,,,,,,
soep-is,DRM12_IS_W4,q6drm_9so,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_10s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_11s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_12s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_13s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_14s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_15s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_16s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_17s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_18s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_19s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_1s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_20s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_21s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_22s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_23s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_24s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_25s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_26s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_27s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_28s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_29s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_2s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_30s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_3s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_4s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_5s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_6s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_7s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_8s,,,,,,,,
soep-is,DRM12_IS_W4,q7drm_9s,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_10e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_11e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_12e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_13e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_14e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_15e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_16e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_17e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_18e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_19e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_1e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_20e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_21e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_22e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_23e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_24e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_25e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_26e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_27e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_28e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_29e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_2e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_30e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_3e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_4e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_5e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_6e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_7e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_8e,,,,,,,,
soep-is,DRM12_IS_W4,q8drm_9e,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_1,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_10,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_11,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_12,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_13,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_14,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_15,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_16,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_17,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_18,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_19,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_2,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_20,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_21,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_22,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_23,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_24,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_25,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_26,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_27,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_28,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_29,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_3,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_30,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_4,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_5,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_6,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_7,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_8,,,,,,,,
soep-is,DRM12_IS_W4,q9drm_9,,,,,,,,
soep-is,DRM12_IS_W4,respid,,,,,,,,
soep-is,DRM12_IS_W4,stichu,,,,,,,,
soep-is,DRM12_IS_W4,urhh,,,,,,,,
soep-is,FM12_IS,auszahlungbund,,,,,,,,
soep-is,FM12_IS,auszahlungfonds,,,,,,,,
soep-is,FM12_IS,auszahlunggenau,,,,,,,,
soep-is,FM12_IS,auszahlunggerundet,,,,,,,,
soep-is,FM12_IS,datj,,,,,,,,
soep-is,FM12_IS,datm,,,,,,,,
soep-is,FM12_IS,datt,,,,,,,,
soep-is,FM12_IS,daxzufall,,,,,,,,
soep-is,FM12_IS,eb_finanz1_1,,,,,,,,
soep-is,FM12_IS,eb_finanz1_2,,,,,,,,
soep-is,FM12_IS,eb_finanz2,,,,,,,,
soep-is,FM12_IS,eb_finanz2o,,,,,,,,
soep-is,FM12_IS,finabc3b_1,,,,,,,,
soep-is,FM12_IS,finabc3b_2,,,,,,,,
soep-is,FM12_IS,finabc4a,,,,,,,,
soep-is,FM12_IS,finabc4b,,,,,,,,
soep-is,FM12_IS,finabc5c,,,,,,,,
soep-is,FM12_IS,finabc_1,,,,,,,,
soep-is,FM12_IS,finabc_2,,,,,,,,
soep-is,FM12_IS,finb4c,,,,,,,,
soep-is,FM12_IS,finc4c,,,,,,,,
soep-is,FM12_IS,findau,,,,,,,,
soep-is,FM12_IS,finspalt_a1,,,,,,,,
soep-is,FM12_IS,finspalt_a2,,,,,,,,
soep-is,FM12_IS,finspalt_a3,,,,,,,,
soep-is,FM12_IS,finspalt_a4,,,,,,,,
soep-is,FM12_IS,finspalt_a5,,,,,,,,
soep-is,FM12_IS,finspalt_a6,,,,,,,,
soep-is,FM12_IS,finspalt_a7,,,,,,,,
soep-is,FM12_IS,finspalt_b1,,,,,,,,
soep-is,FM12_IS,finspalt_b2,,,,,,,,
soep-is,FM12_IS,finspalt_b3,,,,,,,,
soep-is,FM12_IS,finspalt_b4,,,,,,,,
soep-is,FM12_IS,finspalt_b5,,,,,,,,
soep-is,FM12_IS,finspalt_b6,,,,,,,,
soep-is,FM12_IS,finspalt_b7,,,,,,,,
soep-is,FM12_IS,fm01,,,,,,,,
soep-is,FM12_IS,fm02,,,,,,,,
soep-is,FM12_IS,fm03,,,,,,,,
soep-is,FM12_IS,fm04,,,,,,,,
soep-is,FM12_IS,fm05,,,,,,,,
soep-is,FM12_IS,fm06,,,,,,,,
soep-is,FM12_IS,fm0701,,,,,,,,
soep-is,FM12_IS,fm0702,,,,,,,,
soep-is,FM12_IS,fm0703,,,,,,,,
soep-is,FM12_IS,fm0704,,,,,,,,
soep-is,FM12_IS,fm0705,,,,,,,,
soep-is,FM12_IS,fm0706,,,,,,,,
soep-is,FM12_IS,fm0707,,,,,,,,
soep-is,FM12_IS,fm0708,,,,,,,,
soep-is,FM12_IS,fm0709,,,,,,,,
soep-is,FM12_IS,fm0710,,,,,,,,
soep-is,FM12_IS,fm0801,,,,,,,,
soep-is,FM12_IS,fm0802,,,,,,,,
soep-is,FM12_IS,fm0803,,,,,,,,
soep-is,FM12_IS,fm0804,,,,,,,,
soep-is,FM12_IS,fm0805,,,,,,,,
soep-is,FM12_IS,fm0806,,,,,,,,
soep-is,FM12_IS,fm0807,,,,,,,,
soep-is,FM12_IS,fm0808,,,,,,,,
soep-is,FM12_IS,fm0809,,,,,,,,
soep-is,FM12_IS,fm0810,,,,,,,,
soep-is,FM12_IS,fm09,,,,,,,,
soep-is,FM12_IS,fm10,,,,,,,,
soep-is,FM12_IS,fm1101,,,,,,,,
soep-is,FM12_IS,fm1102,,,,,,,,
soep-is,FM12_IS,fm1103,,,,,,,,
soep-is,FM12_IS,fm1104,,,,,,,,
soep-is,FM12_IS,fm1105,,,,,,,,
soep-is,FM12_IS,fm1106,,,,,,,,
soep-is,FM12_IS,fm1107,,,,,,,,
soep-is,FM12_IS,fm1108,,,,,,,,
soep-is,FM12_IS,fm1109,,,,,,,,
soep-is,FM12_IS,fm12,,,,,,,,
soep-is,FM12_IS,fm13,,,,,,,,
soep-is,FM12_IS,fm14,,,,,,,,
soep-is,FM12_IS,gesamt,,,,,,,,
soep-is,FM12_IS,hnr,,,,,,,,
soep-is,FM12_IS,modul,,,,,,,,
soep-is,FM12_IS,name,,,,,,,,
soep-is,FM12_IS,pnr,,,,,,,,
soep-is,FM12_IS,pnrfest,,,,,,,,
soep-is,FM12_IS,respid,,,,,,,,
soep-is,FM12_IS,splitauswahl,,,,,,,,
soep-is,FM12_IS,urhh,,,,,,,,
soep-is,FM12_IS,verlustgewinnfonds,,,,,,,,
soep-is,FM12_IS,vorfin1,,,,,,,,
soep-is,FM12_IS,vorfin2,,,,,,,,
soep-is,FM12_IS,vorfin2o,,,,,,,,
soep-is,GM12_IS,datj,,,,,,,,
soep-is,GM12_IS,datm,,,,,,,,
soep-is,GM12_IS,datt,,,,,,,,
soep-is,GM12_IS,gm0101,,,,,,,,
soep-is,GM12_IS,gm0102,,,,,,,,
soep-is,GM12_IS,gm0103,,,,,,,,
soep-is,GM12_IS,gm0104,,,,,,,,
soep-is,GM12_IS,gm0105,,,,,,,,
soep-is,GM12_IS,gm0106,,,,,,,,
soep-is,GM12_IS,gm0107,,,,,,,,
soep-is,GM12_IS,gm0108,,,,,,,,
soep-is,GM12_IS,gm02,,,,,,,,
soep-is,GM12_IS,gm0301,,,,,,,,
soep-is,GM12_IS,gm0302,,,,,,,,
soep-is,GM12_IS,gm0303,,,,,,,,
soep-is,GM12_IS,gm03ka,,,,,,,,
soep-is,GM12_IS,gm0401,,,,,,,,
soep-is,GM12_IS,gm0402,,,,,,,,
soep-is,GM12_IS,gm0501,,,,,,,,
soep-is,GM12_IS,gm0502,,,,,,,,
soep-is,GM12_IS,gm0503,,,,,,,,
soep-is,GM12_IS,gm0504,,,,,,,,
soep-is,GM12_IS,gm0505,,,,,,,,
soep-is,GM12_IS,gm0506,,,,,,,,
soep-is,GM12_IS,gm0507,,,,,,,,
soep-is,GM12_IS,gm0508,,,,,,,,
soep-is,GM12_IS,gm0509,,,,,,,,
soep-is,GM12_IS,gm0510,,,,,,,,
soep-is,GM12_IS,gm0511,,,,,,,,
soep-is,GM12_IS,gm0512,,,,,,,,
soep-is,GM12_IS,gm0513,,,,,,,,
soep-is,GM12_IS,gm0514,,,,,,,,
soep-is,GM12_IS,gm0515,,,,,,,,
soep-is,GM12_IS,gm0516,,,,,,,,
soep-is,GM12_IS,gm0601,,,,,,,,
soep-is,GM12_IS,gm0602,,,,,,,,
soep-is,GM12_IS,gm0603,,,,,,,,
soep-is,GM12_IS,gm06ka,,,,,,,,
soep-is,GM12_IS,gm0701,,,,,,,,
soep-is,GM12_IS,gm0702,,,,,,,,
soep-is,GM12_IS,gm0703,,,,,,,,
soep-is,GM12_IS,gm07ka,,,,,,,,
soep-is,GM12_IS,gm0801,,,,,,,,
soep-is,GM12_IS,gm0802,,,,,,,,
soep-is,GM12_IS,gm0803,,,,,,,,
soep-is,GM12_IS,gm0804,,,,,,,,
soep-is,GM12_IS,gm0805,,,,,,,,
soep-is,GM12_IS,gm09,,,,,,,,
soep-is,GM12_IS,gm1001,,,,,,,,
soep-is,GM12_IS,gm1002,,,,,,,,
soep-is,GM12_IS,gm1003,,,,,,,,
soep-is,GM12_IS,gm1004,,,,,,,,
soep-is,GM12_IS,gm1005,,,,,,,,
soep-is,GM12_IS,gm1006,,,,,,,,
soep-is,GM12_IS,gm1007,,,,,,,,
soep-is,GM12_IS,gm1008,,,,,,,,
soep-is,GM12_IS,gm1009,,,,,,,,
soep-is,GM12_IS,gm1101,,,,,,,,
soep-is,GM12_IS,gm1102,,,,,,,,
soep-is,GM12_IS,gm1103,,,,,,,,
soep-is,GM12_IS,gm1104,,,,,,,,
soep-is,GM12_IS,gm1105,,,,,,,,
soep-is,GM12_IS,gm1106,,,,,,,,
soep-is,GM12_IS,gm1107,,,,,,,,
soep-is,GM12_IS,gm1108,,,,,,,,
soep-is,GM12_IS,gm1109,,,,,,,,
soep-is,GM12_IS,gm1110,,,,,,,,
soep-is,GM12_IS,gm1201,,,,,,,,
soep-is,GM12_IS,gm1202,,,,,,,,
soep-is,GM12_IS,gm1203,,,,,,,,
soep-is,GM12_IS,gm1204,,,,,,,,
soep-is,GM12_IS,gm1205,,,,,,,,
soep-is,GM12_IS,gm1206,,,,,,,,
soep-is,GM12_IS,gm1207,,,,,,,,
soep-is,GM12_IS,gm1208,,,,,,,,
soep-is,GM12_IS,gm1209,,,,,,,,
soep-is,GM12_IS,gm13,,,,,,,,
soep-is,GM12_IS,gm1401,,,,,,,,
soep-is,GM12_IS,gm1402,,,,,,,,
soep-is,GM12_IS,gm1403,,,,,,,,
soep-is,GM12_IS,gm1404,,,,,,,,
soep-is,GM12_IS,gm1405,,,,,,,,
soep-is,GM12_IS,gm1406,,,,,,,,
soep-is,GM12_IS,gm1407,,,,,,,,
soep-is,GM12_IS,gm1408,,,,,,,,
soep-is,GM12_IS,gm1409,,,,,,,,
soep-is,GM12_IS,gm1410,,,,,,,,
soep-is,GM12_IS,gm1411,,,,,,,,
soep-is,GM12_IS,gm1412,,,,,,,,
soep-is,GM12_IS,gm1413,,,,,,,,
soep-is,GM12_IS,gm1414,,,,,,,,
soep-is,GM12_IS,gm1415,,,,,,,,
soep-is,GM12_IS,gm1416,,,,,,,,
soep-is,GM12_IS,gm1417,,,,,,,,
soep-is,GM12_IS,gm1501,,,,,,,,
soep-is,GM12_IS,gm1502,,,,,,,,
soep-is,GM12_IS,gm1503,,,,,,,,
soep-is,GM12_IS,gm1504,,,,,,,,
soep-is,GM12_IS,gm1505,,,,,,,,
soep-is,GM12_IS,gm1506,,,,,,,,
soep-is,GM12_IS,gm1507,,,,,,,,
soep-is,GM12_IS,gm1601,,,,,,,,
soep-is,GM12_IS,gm1602,,,,,,,,
soep-is,GM12_IS,gm1603,,,,,,,,
soep-is,GM12_IS,gm1604,,,,,,,,
soep-is,GM12_IS,gm1605,,,,,,,,
soep-is,GM12_IS,gm1606,,,,,,,,
soep-is,GM12_IS,gm1607,,,,,,,,
soep-is,GM12_IS,gm1701,,,,,,,,
soep-is,GM12_IS,gm1702,,,,,,,,
soep-is,GM12_IS,gm1703,,,,,,,,
soep-is,GM12_IS,gm1704,,,,,,,,
soep-is,GM12_IS,gm1705,,,,,,,,
soep-is,GM12_IS,gm1706,,,,,,,,
soep-is,GM12_IS,gm1707,,,,,,,,
soep-is,GM12_IS,gm1708,,,,,,,,
soep-is,GM12_IS,gm1709,,,,,,,,
soep-is,GM12_IS,gm1710,,,,,,,,
soep-is,GM12_IS,gm1711,,,,,,,,
soep-is,GM12_IS,gm1712,,,,,,,,
soep-is,GM12_IS,gm1713,,,,,,,,
soep-is,GM12_IS,gm1714,,,,,,,,
soep-is,GM12_IS,gm1715,,,,,,,,
soep-is,GM12_IS,gm1801,,,,,,,,
soep-is,GM12_IS,gm1802,,,,,,,,
soep-is,GM12_IS,gm1803,,,,,,,,
soep-is,GM12_IS,gm1804,,,,,,,,
soep-is,GM12_IS,gm1901,,,,,,,,
soep-is,GM12_IS,gm1902,,,,,,,,
soep-is,GM12_IS,gm2001,,,,,,,,
soep-is,GM12_IS,gm2002,,,,,,,,
soep-is,GM12_IS,gm2003,,,,,,,,
soep-is,GM12_IS,gm2004,,,,,,,,
soep-is,GM12_IS,gm20ka,,,,,,,,
soep-is,GM12_IS,gm2101,,,,,,,,
soep-is,GM12_IS,gm2102,,,,,,,,
soep-is,GM12_IS,gm2103,,,,,,,,
soep-is,GM12_IS,gm2104,,,,,,,,
soep-is,GM12_IS,gm2105,,,,,,,,
soep-is,GM12_IS,gm2106,,,,,,,,
soep-is,GM12_IS,gm22,,,,,,,,
soep-is,GM12_IS,gm2301,,,,,,,,
soep-is,GM12_IS,gm2302,,,,,,,,
soep-is,GM12_IS,gm2303,,,,,,,,
soep-is,GM12_IS,gm2304,,,,,,,,
soep-is,GM12_IS,gm2305,,,,,,,,
soep-is,GM12_IS,gm2306,,,,,,,,
soep-is,GM12_IS,gm2307,,,,,,,,
soep-is,GM12_IS,gm2401,,,,,,,,
soep-is,GM12_IS,gm2402,,,,,,,,
soep-is,GM12_IS,gm2403,,,,,,,,
soep-is,GM12_IS,gm2404,,,,,,,,
soep-is,GM12_IS,gm2405,,,,,,,,
soep-is,GM12_IS,gm2406,,,,,,,,
soep-is,GM12_IS,gm2407,,,,,,,,
soep-is,GM12_IS,gm2501,,,,,,,,
soep-is,GM12_IS,gm2502,,,,,,,,
soep-is,GM12_IS,gm2503,,,,,,,,
soep-is,GM12_IS,gm25ka,,,,,,,,
soep-is,GM12_IS,gm2601,,,,,,,,
soep-is,GM12_IS,gm2602,,,,,,,,
soep-is,GM12_IS,gm2701,,,,,,,,
soep-is,GM12_IS,gm2702,,,,,,,,
soep-is,GM12_IS,gm2703,,,,,,,,
soep-is,GM12_IS,gm2704,,,,,,,,
soep-is,GM12_IS,gm2801,,,,,,,,
soep-is,GM12_IS,gm2802,,,,,,,,
soep-is,GM12_IS,gm2803,,,,,,,,
soep-is,GM12_IS,gm2804,,,,,,,,
soep-is,GM12_IS,gm29,,,,,,,,
soep-is,GM12_IS,gm30,,,,,,,,
soep-is,GM12_IS,gm31,,,,,,,,
soep-is,GM12_IS,gm32,,,,,,,,
soep-is,GM12_IS,gm3301,,,,,,,,
soep-is,GM12_IS,gm3302,,,,,,,,
soep-is,GM12_IS,gm3303,,,,,,,,
soep-is,GM12_IS,gm3304,,,,,,,,
soep-is,GM12_IS,gm3305,,,,,,,,
soep-is,GM12_IS,gm3306,,,,,,,,
soep-is,GM12_IS,gm3307,,,,,,,,
soep-is,GM12_IS,gm33ka,,,,,,,,
soep-is,GM12_IS,gm34,,,,,,,,
soep-is,GM12_IS,gm3501,,,,,,,,
soep-is,GM12_IS,gm3502,,,,,,,,
soep-is,GM12_IS,gm3503,,,,,,,,
soep-is,GM12_IS,gm3504,,,,,,,,
soep-is,GM12_IS,gm3505,,,,,,,,
soep-is,GM12_IS,gm3506,,,,,,,,
soep-is,GM12_IS,gm3507,,,,,,,,
soep-is,GM12_IS,gm35ka,,,,,,,,
soep-is,GM12_IS,gm3601,,,,,,,,
soep-is,GM12_IS,gm3602,,,,,,,,
soep-is,GM12_IS,gm3603,,,,,,,,
soep-is,GM12_IS,gm3701,,,,,,,,
soep-is,GM12_IS,gm3702,,,,,,,,
soep-is,GM12_IS,gm3703,,,,,,,,
soep-is,GM12_IS,gm3704,,,,,,,,
soep-is,GM12_IS,gm3705,,,,,,,,
soep-is,GM12_IS,gm38a,,,,,,,,
soep-is,GM12_IS,gm38b,,,,,,,,
soep-is,GM12_IS,gm39,,,,,,,,
soep-is,GM12_IS,gm40,,,,,,,,
soep-is,GM12_IS,gm41,,,,,,,,
soep-is,GM12_IS,gm4201,,,,,,,,
soep-is,GM12_IS,gm4202,,,,,,,,
soep-is,GM12_IS,gm4203,,,,,,,,
soep-is,GM12_IS,gm4204,,,,,,,,
soep-is,GM12_IS,gm4205,,,,,,,,
soep-is,GM12_IS,gm4206,,,,,,,,
soep-is,GM12_IS,gm4207,,,,,,,,
soep-is,GM12_IS,gm42ka,,,,,,,,
soep-is,GM12_IS,gm43,,,,,,,,
soep-is,GM12_IS,gm4401,,,,,,,,
soep-is,GM12_IS,gm4402,,,,,,,,
soep-is,GM12_IS,gm4403,,,,,,,,
soep-is,GM12_IS,gm4404,,,,,,,,
soep-is,GM12_IS,gm4405,,,,,,,,
soep-is,GM12_IS,gm4406,,,,,,,,
soep-is,GM12_IS,gm4407,,,,,,,,
soep-is,GM12_IS,gm44ka,,,,,,,,
soep-is,GM12_IS,gm4501,,,,,,,,
soep-is,GM12_IS,gm4502,,,,,,,,
soep-is,GM12_IS,gm4503,,,,,,,,
soep-is,GM12_IS,gm4601,,,,,,,,
soep-is,GM12_IS,gm4602,,,,,,,,
soep-is,GM12_IS,gm4603,,,,,,,,
soep-is,GM12_IS,gm4604,,,,,,,,
soep-is,GM12_IS,gm4605,,,,,,,,
soep-is,GM12_IS,gm47a,,,,,,,,
soep-is,GM12_IS,gm47b,,,,,,,,
soep-is,GM12_IS,hnr,,,,,,,,
soep-is,GM12_IS,modul,,,,,,,,
soep-is,GM12_IS,name,,,,,,,,
soep-is,GM12_IS,pnr,,,,,,,,
soep-is,GM12_IS,pnrfest,,,,,,,,
soep-is,GM12_IS,respid,,,,,,,,
soep-is,GM12_IS,s1s2split,,,,,,,,
soep-is,GM12_IS,s1s2split2,,,,,,,,
soep-is,GM12_IS,urhh,,,,,,,,
soep-is,H12_IS,hdag1,,,,,,,,
soep-is,H12_IS,hdag2,,,,,,,,
soep-is,H12_IS,hdatj,,,,,,,,
soep-is,H12_IS,hdatm,,,,,,,,
soep-is,H12_IS,hdatt,,,,,,,,
soep-is,H12_IS,hdgs1,,,,,,,,
soep-is,H12_IS,hdgs2,,,,,,,,
soep-is,H12_IS,hdkg1,,,,,,,,
soep-is,H12_IS,hdkg2,,,,,,,,
soep-is,H12_IS,hdkg3,,,,,,,,
soep-is,H12_IS,hdkz1,,,,,,,,
soep-is,H12_IS,hdkz2,,,,,,,,
soep-is,H12_IS,hdpg1,,,,,,,,
soep-is,H12_IS,hdpg2,,,,,,,,
soep-is,H12_IS,hdsh1,,,,,,,,
soep-is,H12_IS,hdsh2,,,,,,,,
soep-is,H12_IS,hdwg1,,,,,,,,
soep-is,H12_IS,hdwg2,,,,,,,,
soep-is,H12_IS,he01,,,,,,,,
soep-is,H12_IS,he02,,,,,,,,
soep-is,H12_IS,he03,,,,,,,,
soep-is,H12_IS,he05,,,,,,,,
soep-is,H12_IS,he06,,,,,,,,
soep-is,H12_IS,he07,,,,,,,,
soep-is,H12_IS,hform,,,,,,,,
soep-is,H12_IS,hheim,,,,,,,,
soep-is,H12_IS,hhtyp,,,,,,,,
soep-is,H12_IS,hintnr,,,,,,,,
soep-is,H12_IS,hkgeba,,,,,,,,
soep-is,H12_IS,hkgebb,,,,,,,,
soep-is,H12_IS,hkgebc,,,,,,,,
soep-is,H12_IS,hkgebd,,,,,,,,
soep-is,H12_IS,hkgebe,,,,,,,,
soep-is,H12_IS,hkgebf,,,,,,,,
soep-is,H12_IS,hkind,,,,,,,,
soep-is,H12_IS,hkmoa,,,,,,,,
soep-is,H12_IS,hkmob,,,,,,,,
soep-is,H12_IS,hkmoc,,,,,,,,
soep-is,H12_IS,hkmod,,,,,,,,
soep-is,H12_IS,hkmoe,,,,,,,,
soep-is,H12_IS,hkmof,,,,,,,,
soep-is,H12_IS,hknama,,,,,,,,
soep-is,H12_IS,hknamb,,,,,,,,
soep-is,H12_IS,hknamc,,,,,,,,
soep-is,H12_IS,hknamd,,,,,,,,
soep-is,H12_IS,hkname,,,,,,,,
soep-is,H12_IS,hknamf,,,,,,,,
soep-is,H12_IS,hknra,,,,,,,,
