study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,CSM12_IS_W4,respid,,,,,,,,
soep-is,CSM12_IS_W4,s1s2split,,,,,,,,
soep-is,CSM12_IS_W4,stichu,,,,,,,,
soep-is,CSM12_IS_W4,urhh,,,,,,,,
soep-is,DRM12_IS,drm_r_akt1,,,,,,,,
soep-is,DRM12_IS,drm_r_akt2,,,,,,,,
soep-is,DRM12_IS,drm_r_akt3,,,,,,,,
soep-is,DRM12_IS,drm_wt,,,,,,,,
soep-is,DRM12_IS,drmdau,,,,,,,,
soep-is,DRM12_IS,eb_drm1_1,,,,,,,,
soep-is,DRM12_IS,eb_drm1_2,,,,,,,,
soep-is,DRM12_IS,eb_drm2,,,,,,,,
soep-is,DRM12_IS,eb_drm2o,,,,,,,,
soep-is,DRM12_IS,hnr,,,,,,,,
soep-is,DRM12_IS,modul,,,,,,,,
soep-is,DRM12_IS,pnrfest,,,,,,,,
soep-is,DRM12_IS,q10drm_1,,,,,,,,
soep-is,DRM12_IS,q10drm_10,,,,,,,,
soep-is,DRM12_IS,q10drm_11,,,,,,,,
soep-is,DRM12_IS,q10drm_12,,,,,,,,
soep-is,DRM12_IS,q10drm_13,,,,,,,,
soep-is,DRM12_IS,q10drm_14,,,,,,,,
soep-is,DRM12_IS,q10drm_15,,,,,,,,
soep-is,DRM12_IS,q10drm_16,,,,,,,,
soep-is,DRM12_IS,q10drm_17,,,,,,,,
soep-is,DRM12_IS,q10drm_18,,,,,,,,
soep-is,DRM12_IS,q10drm_19,,,,,,,,
soep-is,DRM12_IS,q10drm_2,,,,,,,,
soep-is,DRM12_IS,q10drm_20,,,,,,,,
soep-is,DRM12_IS,q10drm_21,,,,,,,,
soep-is,DRM12_IS,q10drm_22,,,,,,,,
soep-is,DRM12_IS,q10drm_23,,,,,,,,
soep-is,DRM12_IS,q10drm_24,,,,,,,,
soep-is,DRM12_IS,q10drm_25,,,,,,,,
soep-is,DRM12_IS,q10drm_26,,,,,,,,
soep-is,DRM12_IS,q10drm_27,,,,,,,,
soep-is,DRM12_IS,q10drm_28,,,,,,,,
soep-is,DRM12_IS,q10drm_29,,,,,,,,
soep-is,DRM12_IS,q10drm_3,,,,,,,,
soep-is,DRM12_IS,q10drm_30,,,,,,,,
soep-is,DRM12_IS,q10drm_4,,,,,,,,
soep-is,DRM12_IS,q10drm_5,,,,,,,,
soep-is,DRM12_IS,q10drm_6,,,,,,,,
soep-is,DRM12_IS,q10drm_7,,,,,,,,
soep-is,DRM12_IS,q10drm_8,,,,,,,,
soep-is,DRM12_IS,q10drm_9,,,,,,,,
soep-is,DRM12_IS,q11drm_10_1,,,,,,,,
soep-is,DRM12_IS,q11drm_10_10,,,,,,,,
soep-is,DRM12_IS,q11drm_10_2,,,,,,,,
soep-is,DRM12_IS,q11drm_10_3,,,,,,,,
soep-is,DRM12_IS,q11drm_10_4,,,,,,,,
soep-is,DRM12_IS,q11drm_10_5,,,,,,,,
soep-is,DRM12_IS,q11drm_10_6,,,,,,,,
soep-is,DRM12_IS,q11drm_10_7,,,,,,,,
soep-is,DRM12_IS,q11drm_10_8,,,,,,,,
soep-is,DRM12_IS,q11drm_10_9,,,,,,,,
soep-is,DRM12_IS,q11drm_11_1,,,,,,,,
soep-is,DRM12_IS,q11drm_11_10,,,,,,,,
soep-is,DRM12_IS,q11drm_11_2,,,,,,,,
soep-is,DRM12_IS,q11drm_11_3,,,,,,,,
soep-is,DRM12_IS,q11drm_11_4,,,,,,,,
soep-is,DRM12_IS,q11drm_11_5,,,,,,,,
soep-is,DRM12_IS,q11drm_11_6,,,,,,,,
soep-is,DRM12_IS,q11drm_11_7,,,,,,,,
soep-is,DRM12_IS,q11drm_11_8,,,,,,,,
soep-is,DRM12_IS,q11drm_11_9,,,,,,,,
soep-is,DRM12_IS,q11drm_12_1,,,,,,,,
soep-is,DRM12_IS,q11drm_12_10,,,,,,,,
soep-is,DRM12_IS,q11drm_12_2,,,,,,,,
soep-is,DRM12_IS,q11drm_12_3,,,,,,,,
soep-is,DRM12_IS,q11drm_12_4,,,,,,,,
soep-is,DRM12_IS,q11drm_12_5,,,,,,,,
soep-is,DRM12_IS,q11drm_12_6,,,,,,,,
soep-is,DRM12_IS,q11drm_12_7,,,,,,,,
soep-is,DRM12_IS,q11drm_12_8,,,,,,,,
soep-is,DRM12_IS,q11drm_12_9,,,,,,,,
soep-is,DRM12_IS,q11drm_13_1,,,,,,,,
soep-is,DRM12_IS,q11drm_13_10,,,,,,,,
soep-is,DRM12_IS,q11drm_13_2,,,,,,,,
soep-is,DRM12_IS,q11drm_13_3,,,,,,,,
soep-is,DRM12_IS,q11drm_13_4,,,,,,,,
soep-is,DRM12_IS,q11drm_13_5,,,,,,,,
soep-is,DRM12_IS,q11drm_13_6,,,,,,,,
soep-is,DRM12_IS,q11drm_13_7,,,,,,,,
soep-is,DRM12_IS,q11drm_13_8,,,,,,,,
soep-is,DRM12_IS,q11drm_13_9,,,,,,,,
soep-is,DRM12_IS,q11drm_14_1,,,,,,,,
soep-is,DRM12_IS,q11drm_14_10,,,,,,,,
soep-is,DRM12_IS,q11drm_14_2,,,,,,,,
soep-is,DRM12_IS,q11drm_14_3,,,,,,,,
soep-is,DRM12_IS,q11drm_14_4,,,,,,,,
soep-is,DRM12_IS,q11drm_14_5,,,,,,,,
soep-is,DRM12_IS,q11drm_14_6,,,,,,,,
soep-is,DRM12_IS,q11drm_14_7,,,,,,,,
soep-is,DRM12_IS,q11drm_14_8,,,,,,,,
soep-is,DRM12_IS,q11drm_14_9,,,,,,,,
soep-is,DRM12_IS,q11drm_15_1,,,,,,,,
soep-is,DRM12_IS,q11drm_15_10,,,,,,,,
soep-is,DRM12_IS,q11drm_15_2,,,,,,,,
soep-is,DRM12_IS,q11drm_15_3,,,,,,,,
soep-is,DRM12_IS,q11drm_15_4,,,,,,,,
soep-is,DRM12_IS,q11drm_15_5,,,,,,,,
soep-is,DRM12_IS,q11drm_15_6,,,,,,,,
soep-is,DRM12_IS,q11drm_15_7,,,,,,,,
soep-is,DRM12_IS,q11drm_15_8,,,,,,,,
soep-is,DRM12_IS,q11drm_15_9,,,,,,,,
soep-is,DRM12_IS,q11drm_16_1,,,,,,,,
soep-is,DRM12_IS,q11drm_16_10,,,,,,,,
soep-is,DRM12_IS,q11drm_16_2,,,,,,,,
soep-is,DRM12_IS,q11drm_16_3,,,,,,,,
soep-is,DRM12_IS,q11drm_16_4,,,,,,,,
soep-is,DRM12_IS,q11drm_16_5,,,,,,,,
soep-is,DRM12_IS,q11drm_16_6,,,,,,,,
soep-is,DRM12_IS,q11drm_16_7,,,,,,,,
soep-is,DRM12_IS,q11drm_16_8,,,,,,,,
soep-is,DRM12_IS,q11drm_16_9,,,,,,,,
soep-is,DRM12_IS,q11drm_17_1,,,,,,,,
soep-is,DRM12_IS,q11drm_17_10,,,,,,,,
soep-is,DRM12_IS,q11drm_17_2,,,,,,,,
soep-is,DRM12_IS,q11drm_17_3,,,,,,,,
soep-is,DRM12_IS,q11drm_17_4,,,,,,,,
soep-is,DRM12_IS,q11drm_17_5,,,,,,,,
soep-is,DRM12_IS,q11drm_17_6,,,,,,,,
soep-is,DRM12_IS,q11drm_17_7,,,,,,,,
soep-is,DRM12_IS,q11drm_17_8,,,,,,,,
soep-is,DRM12_IS,q11drm_17_9,,,,,,,,
soep-is,DRM12_IS,q11drm_18_1,,,,,,,,
soep-is,DRM12_IS,q11drm_18_10,,,,,,,,
soep-is,DRM12_IS,q11drm_18_2,,,,,,,,
soep-is,DRM12_IS,q11drm_18_3,,,,,,,,
soep-is,DRM12_IS,q11drm_18_4,,,,,,,,
soep-is,DRM12_IS,q11drm_18_5,,,,,,,,
soep-is,DRM12_IS,q11drm_18_6,,,,,,,,
soep-is,DRM12_IS,q11drm_18_7,,,,,,,,
soep-is,DRM12_IS,q11drm_18_8,,,,,,,,
soep-is,DRM12_IS,q11drm_18_9,,,,,,,,
soep-is,DRM12_IS,q11drm_19_1,,,,,,,,
soep-is,DRM12_IS,q11drm_19_10,,,,,,,,
soep-is,DRM12_IS,q11drm_19_2,,,,,,,,
soep-is,DRM12_IS,q11drm_19_3,,,,,,,,
soep-is,DRM12_IS,q11drm_19_4,,,,,,,,
soep-is,DRM12_IS,q11drm_19_5,,,,,,,,
soep-is,DRM12_IS,q11drm_19_6,,,,,,,,
soep-is,DRM12_IS,q11drm_19_7,,,,,,,,
soep-is,DRM12_IS,q11drm_19_8,,,,,,,,
soep-is,DRM12_IS,q11drm_19_9,,,,,,,,
