study,dataset,version,variable,value,label,frequency,label_de,categories_de
soep-is,CSM12_IS,2012,csm0102,-1,Keine Angabe,4,Keine Angabe
soep-is,CSM12_IS,2012,csm0102,1,"Ja, und zwar:",73,"Ja, und zwar:"
soep-is,CSM12_IS,2012,csm0102,2,"Nein, gab nichts dergleichen",184,"Nein, gab nichts dergleichen"
soep-is,CSM12_IS,2012,csm02,-2,"",188,""
soep-is,CSM12_IS,2012,csm02,1,positiv,15,positiv
soep-is,CSM12_IS,2012,csm02,2,neutral,8,neutral
soep-is,CSM12_IS,2012,csm02,3,negativ,50,negativ
soep-is,CSM12_IS,2012,csm03,-2,"",188,""
soep-is,CSM12_IS,2012,csm03,-1,Keine Angabe,0,Keine Angabe
soep-is,CSM12_IS,2012,csm03,0,berhaupt nicht,19,berhaupt nicht
soep-is,CSM12_IS,2012,csm03,1,1,1,1
soep-is,CSM12_IS,2012,csm03,2,2,5,2
soep-is,CSM12_IS,2012,csm03,3,3,2,3
soep-is,CSM12_IS,2012,csm03,4,4,4,4
soep-is,CSM12_IS,2012,csm03,5,5,7,5
soep-is,CSM12_IS,2012,csm03,6,6,2,6
soep-is,CSM12_IS,2012,csm03,7,7,7,7
soep-is,CSM12_IS,2012,csm03,8,8,6,8
soep-is,CSM12_IS,2012,csm03,9,9,2,9
soep-is,CSM12_IS,2012,csm03,10,Voll und ganz,18,Voll und ganz
soep-is,CSM12_IS,2012,csm0401,-1,keine Angabe,3,keine Angabe
soep-is,CSM12_IS,2012,csm0401,0,trifft berhaupt nicht zu,2,trifft berhaupt nicht zu
soep-is,CSM12_IS,2012,csm0401,1,1,0,1
soep-is,CSM12_IS,2012,csm0401,2,2,3,2
soep-is,CSM12_IS,2012,csm0401,3,3,6,3
soep-is,CSM12_IS,2012,csm0401,4,4,5,4
soep-is,CSM12_IS,2012,csm0401,5,5,28,5
soep-is,CSM12_IS,2012,csm0401,6,6,12,6
soep-is,CSM12_IS,2012,csm0401,7,7,40,7
soep-is,CSM12_IS,2012,csm0401,8,8,50,8
soep-is,CSM12_IS,2012,csm0401,9,9,30,9
soep-is,CSM12_IS,2012,csm0401,10,trifft voll und ganz zu,82,trifft voll und ganz zu
soep-is,CSM12_IS,2012,csm0402,-1,keine Angabe,7,keine Angabe
soep-is,CSM12_IS,2012,csm0402,0,trifft berhaupt nicht zu,13,trifft berhaupt nicht zu
soep-is,CSM12_IS,2012,csm0402,1,1,7,1
soep-is,CSM12_IS,2012,csm0402,2,2,16,2
soep-is,CSM12_IS,2012,csm0402,3,3,20,3
soep-is,CSM12_IS,2012,csm0402,4,4,19,4
soep-is,CSM12_IS,2012,csm0402,5,5,62,5
soep-is,CSM12_IS,2012,csm0402,6,6,24,6
soep-is,CSM12_IS,2012,csm0402,7,7,19,7
soep-is,CSM12_IS,2012,csm0402,8,8,31,8
soep-is,CSM12_IS,2012,csm0402,9,9,17,9
soep-is,CSM12_IS,2012,csm0402,10,trifft voll und ganz zu,26,trifft voll und ganz zu
soep-is,CSM12_IS,2012,csm0403,-1,keine Angabe,3,keine Angabe
soep-is,CSM12_IS,2012,csm0403,0,trifft berhaupt nicht zu,23,trifft berhaupt nicht zu
soep-is,CSM12_IS,2012,csm0403,1,1,6,1
soep-is,CSM12_IS,2012,csm0403,2,2,17,2
soep-is,CSM12_IS,2012,csm0403,3,3,21,3
soep-is,CSM12_IS,2012,csm0403,4,4,16,4
soep-is,CSM12_IS,2012,csm0403,5,5,35,5
soep-is,CSM12_IS,2012,csm0403,6,6,27,6
soep-is,CSM12_IS,2012,csm0403,7,7,27,7
soep-is,CSM12_IS,2012,csm0403,8,8,32,8
soep-is,CSM12_IS,2012,csm0403,9,9,9,9
soep-is,CSM12_IS,2012,csm0403,10,trifft voll und ganz zu,45,trifft voll und ganz zu
soep-is,CSM12_IS,2012,csm0404,-1,keine Angabe,4,keine Angabe
soep-is,CSM12_IS,2012,csm0404,0,trifft berhaupt nicht zu,5,trifft berhaupt nicht zu
soep-is,CSM12_IS,2012,csm0404,1,1,1,1
soep-is,CSM12_IS,2012,csm0404,2,2,1,2
soep-is,CSM12_IS,2012,csm0404,3,3,4,3
soep-is,CSM12_IS,2012,csm0404,4,4,6,4
soep-is,CSM12_IS,2012,csm0404,5,5,21,5
soep-is,CSM12_IS,2012,csm0404,6,6,18,6
soep-is,CSM12_IS,2012,csm0404,7,7,37,7
soep-is,CSM12_IS,2012,csm0404,8,8,63,8
soep-is,CSM12_IS,2012,csm0404,9,9,32,9
soep-is,CSM12_IS,2012,csm0404,10,trifft voll und ganz zu,69,trifft voll und ganz zu
soep-is,CSM12_IS,2012,csm0405,-1,keine Angabe,3,keine Angabe
soep-is,CSM12_IS,2012,csm0405,0,trifft berhaupt nicht zu,6,trifft berhaupt nicht zu
soep-is,CSM12_IS,2012,csm0405,1,1,4,1
soep-is,CSM12_IS,2012,csm0405,2,2,11,2
soep-is,CSM12_IS,2012,csm0405,3,3,11,3
soep-is,CSM12_IS,2012,csm0405,4,4,12,4
soep-is,CSM12_IS,2012,csm0405,5,5,12,5
soep-is,CSM12_IS,2012,csm0405,6,6,22,6
soep-is,CSM12_IS,2012,csm0405,7,7,30,7
soep-is,CSM12_IS,2012,csm0405,8,8,49,8
soep-is,CSM12_IS,2012,csm0405,9,9,36,9
soep-is,CSM12_IS,2012,csm0405,10,trifft voll und ganz zu,65,trifft voll und ganz zu
soep-is,CSM12_IS,2012,csm0406,-1,keine Angabe,4,keine Angabe
