study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2012-haupt,hhtyp,4,Building with 3 to 4 flats,Wohnhaus mit 3 bis 4 Wohnungen,1279,hhtyp
soep-is,soep-is-2012-haupt,hhtyp,5,Building with 5 to 8 flats,Wohnhaus mit 5 bis 8 Wohnungen,1280,hhtyp
soep-is,soep-is-2012-haupt,hhtyp,6,Building with 9 or more flats (but no more than 8 floors/stories),"Wohnhaus mit 9 und mehr Wohnungen, aber höchstens 8 Stockwerken, also kein Hochhaus",1281,hhtyp
soep-is,soep-is-2012-haupt,hhtyp,7,High-rise (9 or more floors/stories),Hochhaus mit 9 und mehr Stockwerken,1282,hhtyp
soep-is,soep-is-2012-haupt,hhtyp,-1,No answer,Keine Angabe,1283,hhtyp
soep-is,soep-is-2012-haupt,hheim,1,Yes,Ja,1284,hheim
soep-is,soep-is-2012-haupt,hheim,2,No,Nein,1285,hheim
soep-is,soep-is-2012-haupt,hheim,-1,No answer,Keine Angabe,1286,hheim
soep-is,soep-is-2012-haupt,hwohn09,1,Before 1919,vor 1919,1287,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,2,1919 to 1948,1919 bis 1948,1288,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,3,1949 to 1971,1949 bis 1971,1289,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,4,1972 to 1980,1972 bis 1980,1290,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,5,1981 to 1990,1981 bis 1990,1291,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,6,1991 to 2000,1991 bis 2000,1292,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,7,2001 to 2010,2001 bis 2010,1293,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,8,2011 and later,2011 und später,1294,hwohn09
soep-is,soep-is-2012-haupt,hwohn09,-1,No answer,Keine Angabe,1295,hwohn09
soep-is,soep-is-2012-haupt,hwohn09a,1972,1972,1972,1296,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1973,1973,1973,1297,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1974,1974,1974,1298,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1975,1975,1975,1299,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1976,1976,1976,1300,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1977,1977,1977,1301,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1978,1978,1978,1302,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1979,1979,1979,1303,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,1980,1980,1980,1304,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,,No,Nein,1305,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a,-1,No answer,Keine Angabe,1306,hwohn09a
soep-is,soep-is-2012-haupt,hwohn09a.2,1981,1981,1981,1307,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1982,1982,1982,1308,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1983,1983,1983,1309,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1984,1984,1984,1310,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1985,1985,1985,1311,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1986,1986,1986,1312,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1987,1987,1987,1313,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1988,1988,1988,1314,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1989,1989,1989,1315,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,1990,1990,1990,1316,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,,No,Nein,1317,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.2,-1,No answer,Keine Angabe,1318,hwohn09a.2
soep-is,soep-is-2012-haupt,hwohn09a.3,1991,1991,1991,1319,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1992,1992,1992,1320,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1993,1993,1993,1321,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1994,1994,1994,1322,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1995,1995,1995,1323,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1996,1996,1996,1324,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1997,1997,1997,1325,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1998,1998,1998,1326,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,1999,1999,1999,1327,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,2000,2000,2000,1328,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,,No,Nein,1329,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.3,-1,No answer,Keine Angabe,1330,hwohn09a.3
soep-is,soep-is-2012-haupt,hwohn09a.4,2001,2001,2001,1331,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2002,2002,2002,1332,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2003,2003,2003,1333,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2004,2004,2004,1334,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2005,2005,2005,1335,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2006,2006,2006,1336,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2007,2007,2007,1337,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2008,2008,2008,1338,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2009,2009,2009,1339,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,2010,2010,2010,1340,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,,No,Nein,1341,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.4,-1,No answer,Keine Angabe,1342,hwohn09a.4
soep-is,soep-is-2012-haupt,hwohn09a.5,2011,2011,2011,1343,hwohn09a.5
soep-is,soep-is-2012-haupt,hwohn09a.5,2012,2012,2012,1344,hwohn09a.5
soep-is,soep-is-2012-haupt,hwohn09a.5,,No,Nein,1345,hwohn09a.5
soep-is,soep-is-2012-haupt,hwohn09a.5,-1,No answer,Keine Angabe,1346,hwohn09a.5
soep-is,soep-is-2012-haupt,hm01,1,Main tenant,Hauptmieter,1347,hm01
soep-is,soep-is-2012-haupt,hm01,2,Subtenant,Untermieter,1348,hm01
soep-is,soep-is-2012-haupt,hm01,3,Owner,Eigentümer,1349,hm01
soep-is,soep-is-2012-haupt,hm01,4,Residential home,Wohnheim,1350,hm01
soep-is,soep-is-2012-haupt,hm06,1,Yes,Ja,1351,hm06
soep-is,soep-is-2012-haupt,hm06,2,No,Nein,1352,hm06
soep-is,soep-is-2012-haupt,hm06,-1,No answer,Keine Angabe,1353,hm06
soep-is,soep-is-2012-haupt,hm09,1,"Yes, entirely included","Ja, ganz enthalten",1354,hm09
soep-is,soep-is-2012-haupt,hm09,2,"Yes, partially included","Ja, teilweise enthalten",1355,hm09
soep-is,soep-is-2012-haupt,hm09,3,No,Nein,1356,hm09
soep-is,soep-is-2012-haupt,hm09,4,Don't know,Weiß nicht,1357,hm09
soep-is,soep-is-2012-haupt,hzahl,1,Yes,Ja,1358,hzahl
soep-is,soep-is-2012-haupt,hzahl,2,No,Nein,1359,hzahl
soep-is,soep-is-2012-haupt,hzahl,-1,No answer,Keine Angabe,1360,hzahl
soep-is,soep-is-2012-haupt,he01,1,Yes,Ja,1361,he01
soep-is,soep-is-2012-haupt,he01,2,No,Nein,1362,he01
soep-is,soep-is-2012-haupt,he01,-1,No answer,Keine Angabe,1363,he01
soep-is,soep-is-2012-haupt,hzahl1,1,Yes,Ja,1364,hzahl1
soep-is,soep-is-2012-haupt,hzahl1,2,No,Nein,1365,hzahl1
soep-is,soep-is-2012-haupt,hzahl1,-1,No answer,Keine Angabe,1366,hzahl1
soep-is,soep-is-2012-haupt,he06,1,Yes,Ja,1367,he06
soep-is,soep-is-2012-haupt,he06,2,No,Nein,1368,he06
soep-is,soep-is-2012-haupt,hverm1,1,Yes,Ja,1369,hverm1
soep-is,soep-is-2012-haupt,hverm1,2,No,Nein,1370,hverm1
soep-is,soep-is-2012-haupt,hverm1,-1,No answer,Keine Angabe,1371,hverm1
soep-is,soep-is-2012-haupt,hkred1,1,Yes,Ja,1372,hkred1
soep-is,soep-is-2012-haupt,hkred1,2,No,Nein,1373,hkred1
soep-is,soep-is-2012-haupt,hkred1,-1,No answer,Keine Angabe,1374,hkred1
soep-is,soep-is-2012-haupt,hwa,1,Yes,Ja,1375,hwa
soep-is,soep-is-2012-haupt,hwa,2,No,Nein,1376,hwa
soep-is,soep-is-2012-haupt,hwa,-1,No answer,Keine Angabe,1377,hwa
soep-is,soep-is-2012-haupt,hzins2,1,Less than 250 euro,unter 250 Euro,1378,hzins2
soep-is,soep-is-2012-haupt,hzins2,2,"From 250 to less than 1,000 euros",250 bis unter 1.000 Euro,1379,hzins2
soep-is,soep-is-2012-haupt,hzins2,3,"From 1,000 to less than 2,500 euros",1.000 bis unter 2.500 Euro,1380,hzins2
soep-is,soep-is-2012-haupt,hzins2,4,"From 2,500 to less than 5,000 euros",2.500 bis unter 5.000 Euro,1381,hzins2
soep-is,soep-is-2012-haupt,hzins2,5,"From 5,000 to less than 10,000 euros",5.000 bis unter 10.000 Euro,1382,hzins2
soep-is,soep-is-2012-haupt,hzins2,6,"10,000 euros and more",10.000 Euro und mehr,1383,hzins2
soep-is,soep-is-2012-haupt,hzins2,-1,No answer,Keine Angabe,1384,hzins2
soep-is,soep-is-2012-haupt,hverm7,1,Less than 5000 euro,unter 5.000 Euro,1385,hverm7
soep-is,soep-is-2012-haupt,hverm7,2,"From 5,000 to less than 20,000 euros",5.000 bis unter 20.000 Euro,1386,hverm7
soep-is,soep-is-2012-haupt,hverm7,3,"From 20,000 to less than 50,000 euros",20.000 bis unter 50.000 Euro,1387,hverm7
soep-is,soep-is-2012-haupt,hverm7,4,"From 50,000 to less than 100,000 euros",50.000 bis unter 100.000 Euro,1388,hverm7
soep-is,soep-is-2012-haupt,hverm7,5,"From 100,000 to less than 200,000 euros",100.000 bis unter 200.000 Euro,1389,hverm7
soep-is,soep-is-2012-haupt,hverm7,6,"From 200,000 to less than 500,000 euros",200.000 bis unter 500.000 Euro,1390,hverm7
soep-is,soep-is-2012-haupt,hverm7,7,"From 500,000 to less than 1,000,000 euros",500.000 bis unter 1.000.000 Euro,1391,hverm7
soep-is,soep-is-2012-haupt,hverm7,8,"1,000,000 euros and more",1.000.000 Euro und mehr,1392,hverm7
soep-is,soep-is-2012-haupt,hverm7,9,No assets,Keinerlei Vermögen,1393,hverm7
soep-is,soep-is-2012-haupt,hverm7,10,Don't know,weiß nicht,1394,hverm7
soep-is,soep-is-2012-haupt,hverm7,-1,No answer,Keine Angabe,1395,hverm7
soep-is,soep-is-2012-haupt,hd x,1,Yes,Ja,1396,hd x
soep-is,soep-is-2012-haupt,hd x,2,No,Nein,1397,hd x
soep-is,soep-is-2012-haupt,hd x,-1,No answer,Keine Angabe,1398,hd x
soep-is,soep-is-2012-haupt,znettox1,1,less than 1.500 euros,Niedriger als 1.500 Euro,1399,znettox1
soep-is,soep-is-2012-haupt,znettox1,2,more than 1.500 euros,Höher als 1.500 Euro,1400,znettox1
soep-is,soep-is-2012-haupt,znettox1,-1,No answer,Keine Angabe,1401,znettox1
soep-is,soep-is-2012-haupt,znettox2,1,less than 750 euros,Niedriger als 750 Euro,1402,znettox2
soep-is,soep-is-2012-haupt,znettox2,2,more than 750 euros,Höher als 750 Euro,1403,znettox2
soep-is,soep-is-2012-haupt,znettox2,-1,No answer,Keine Angabe,1404,znettox2
soep-is,soep-is-2012-haupt,znettox3,1,less than 2.500 euros,Niedriger als 2.500 Euro,1405,znettox3
soep-is,soep-is-2012-haupt,znettox3,2,more than 2.500 euros,Höher als 2.500 Euro,1406,znettox3
soep-is,soep-is-2012-haupt,znettox3,-1,No answer,Keine Angabe,1407,znettox3
soep-is,soep-is-2012-haupt,znettox4,1,less than 3.500 euros,Niedriger als 3.500 Euro,1408,znettox4
soep-is,soep-is-2012-haupt,znettox4,2,more than 3.500 euros,Höher als 3.500 Euro,1409,znettox4
soep-is,soep-is-2012-haupt,znettox4,-1,No answer,Keine Angabe,1410,znettox4
soep-is,soep-is-2012-haupt,znettox5,1,less than 5.000 euros,Niedriger als 5.000 Euro,1411,znettox5
soep-is,soep-is-2012-haupt,znettox5,2,more than 5.000 euros,Höher als 5.000 Euro,1412,znettox5
soep-is,soep-is-2012-haupt,znettox5,-1,No answer,Keine Angabe,1413,znettox5
soep-is,soep-is-2012-haupt,hspar1,1,Yes,Ja,1414,hspar1
soep-is,soep-is-2012-haupt,hspar1,2,No,Nein,1415,hspar1
soep-is,soep-is-2012-haupt,hspar1,-1,No answer,Keine Angabe,1416,hspar1
soep-is,soep-is-2012-haupt,hpfleg,1,Yes,Ja,1417,hpfleg
soep-is,soep-is-2012-haupt,hpfleg,2,No,Nein,1418,hpfleg
soep-is,soep-is-2012-haupt,hpfleg,-1,No answer,Keine Angabe,1419,hpfleg
soep-is,soep-is-2012-haupt,hpl,1,"Yes, care level 1","Ja, Pflegestufe 1",1420,hpl
soep-is,soep-is-2012-haupt,hpl,2,"Yes, care level 2","Ja, Pflegestufe 2",1421,hpl
soep-is,soep-is-2012-haupt,hpl,3,"Yes, care level 3","Ja, Pflegestufe 3",1422,hpl
soep-is,soep-is-2012-haupt,hpl,4,No,Nein,1423,hpl
soep-is,soep-is-2012-haupt,hpl,-1,No answer,Keine Angabe,1424,hpl
soep-is,soep-is-2012-haupt,pzuf x,0,0 = Completely dissatisfied,0 ganz und gar unzufrieden,1425,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,1,1,1,1426,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,2,2,2,1427,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,3,3,3,1428,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,4,4,4,1429,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,5,5,5,1430,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,6,6,6,1431,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,7,7,7,1432,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,8,8,8,1433,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,9,9,9,1434,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,10,10 = Completely satisfied,10 ganz und gar zufrieden,1435,pzuf x
soep-is,soep-is-2012-haupt,pzuf x,-1,NA,KA,1436,pzuf x
soep-is,soep-is-2012-haupt,pzufx2,0,0 = Completely dissatisfied,0 ganz und gar unzufrieden,1437,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,1,1,1,1438,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,2,2,2,1439,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,3,3,3,1440,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,4,4,4,1441,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,5,5,5,1442,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,6,6,6,1443,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,7,7,7,1444,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,8,8,8,1445,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,9,9,9,1446,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,10,10 = Completely satisfied,10 ganz und gar zufrieden,1447,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,-1,NA,KA,1448,pzufx2
soep-is,soep-is-2012-haupt,pzufx2,-2,DNA,TNZ,1449,pzufx2
soep-is,soep-is-2012-haupt,self1,0,0 not at all,0 gar nicht,1450,self1
soep-is,soep-is-2012-haupt,self1,1,1,1,1451,self1
soep-is,soep-is-2012-haupt,self1,2,2,2,1452,self1
soep-is,soep-is-2012-haupt,self1,3,3,3,1453,self1
soep-is,soep-is-2012-haupt,self1,4,4,4,1454,self1
soep-is,soep-is-2012-haupt,self1,5,5,5,1455,self1
soep-is,soep-is-2012-haupt,self1,6,6,6,1456,self1
soep-is,soep-is-2012-haupt,self1,7,7,7,1457,self1
soep-is,soep-is-2012-haupt,self1,8,8,8,1458,self1
soep-is,soep-is-2012-haupt,self1,9,9,9,1459,self1
soep-is,soep-is-2012-haupt,self1,10,10 very much,10 sehr,1460,self1
soep-is,soep-is-2012-haupt,self1b,0,0 not at all,0 gar nicht,1461,self1b
soep-is,soep-is-2012-haupt,self1b,1,1,1,1462,self1b
soep-is,soep-is-2012-haupt,self1b,2,2,2,1463,self1b
soep-is,soep-is-2012-haupt,self1b,3,3,3,1464,self1b
soep-is,soep-is-2012-haupt,self1b,4,4,4,1465,self1b
soep-is,soep-is-2012-haupt,self1b,5,5,5,1466,self1b
soep-is,soep-is-2012-haupt,self1b,6,6,6,1467,self1b
soep-is,soep-is-2012-haupt,self1b,7,7,7,1468,self1b
soep-is,soep-is-2012-haupt,self1b,8,8,8,1469,self1b
soep-is,soep-is-2012-haupt,self1b,9,9,9,1470,self1b
soep-is,soep-is-2012-haupt,self1b,10,10 very much,10 sehr,1471,self1b
soep-is,soep-is-2012-haupt,pgef x,1,Very rarely,Sehr selten,1472,pgef x
soep-is,soep-is-2012-haupt,pgef x,2,Rarely,Selten,1473,pgef x
soep-is,soep-is-2012-haupt,pgef x,3,Occasionally,Manchmal,1474,pgef x
soep-is,soep-is-2012-haupt,pgef x,4,Often,Oft,1475,pgef x
soep-is,soep-is-2012-haupt,pgef x,5,Very often,Sehr oft,1476,pgef x
soep-is,soep-is-2012-haupt,pgef x,-1,No answer,Keine Angabe,1477,pgef x
soep-is,soep-is-2012-haupt,prisk,0,0 risk averse,0 Gar nicht risikobereit,1478,prisk
soep-is,soep-is-2012-haupt,prisk,1,1,1,1479,prisk
soep-is,soep-is-2012-haupt,prisk,2,2,2,1480,prisk
soep-is,soep-is-2012-haupt,prisk,3,3,3,1481,prisk
soep-is,soep-is-2012-haupt,prisk,4,4,4,1482,prisk
soep-is,soep-is-2012-haupt,prisk,5,5,5,1483,prisk
soep-is,soep-is-2012-haupt,prisk,6,6,6,1484,prisk
soep-is,soep-is-2012-haupt,prisk,7,7,7,1485,prisk
soep-is,soep-is-2012-haupt,prisk,8,8,8,1486,prisk
soep-is,soep-is-2012-haupt,prisk,9,9,9,1487,prisk
soep-is,soep-is-2012-haupt,prisk,10,10 fully prepared to take risks,10 Sehr risikobereit,1488,prisk
soep-is,soep-is-2012-haupt,self2,1,1 does not apply to me at all,1 trifft überhaupt nicht zu,1489,self2
soep-is,soep-is-2012-haupt,self2,2,2,2,1490,self2
soep-is,soep-is-2012-haupt,self2,3,3,3,1491,self2
soep-is,soep-is-2012-haupt,self2,4,4,4,1492,self2
soep-is,soep-is-2012-haupt,self2,5,5,5,1493,self2
soep-is,soep-is-2012-haupt,self2,6,6,6,1494,self2
soep-is,soep-is-2012-haupt,self2,7,7 applies to me perfectly,7 trifft voll und ganz zu,1495,self2
soep-is,soep-is-2012-haupt,self2,-1,No answer,Keine Angabe,1496,self2
soep-is,soep-is-2012-haupt,pwich x,1,Very important,sehr wichtig,1497,pwich x
soep-is,soep-is-2012-haupt,pwich x,2,Important,wichtig,1498,pwich x
soep-is,soep-is-2012-haupt,pwich x,3,Less important,weniger wichtig,1499,pwich x
soep-is,soep-is-2012-haupt,pwich x,4,Quite unimportant ,ganz unwichtig,1500,pwich x
soep-is,soep-is-2012-haupt,pwich x,-1,No answer,Keine Angabe,1501,pwich x
soep-is,soep-is-2012-haupt,self5,1,1 Not at all,1 gar nicht,1502,self5
soep-is,soep-is-2012-haupt,self5,2,2,2,1503,self5
soep-is,soep-is-2012-haupt,self5,3,3,3,1504,self5
soep-is,soep-is-2012-haupt,self5,4,4,4,1505,self5
soep-is,soep-is-2012-haupt,self5,5,5,5,1506,self5
soep-is,soep-is-2012-haupt,self5,6,6,6,1507,self5
soep-is,soep-is-2012-haupt,self5,7,7 Very much,7 sehr,1508,self5
soep-is,soep-is-2012-haupt,self5,-1,No answer,Keine Angabe,1509,self5
soep-is,soep-is-2012-haupt,self4,1,1 Not at all important,1 gar nicht wichtig,1510,self4
soep-is,soep-is-2012-haupt,self4,2,2,2,1511,self4
soep-is,soep-is-2012-haupt,self4,3,3,3,1512,self4
soep-is,soep-is-2012-haupt,self4,4,4,4,1513,self4
soep-is,soep-is-2012-haupt,self4,5,5,5,1514,self4
soep-is,soep-is-2012-haupt,self4,6,6,6,1515,self4
soep-is,soep-is-2012-haupt,self4,7,7 Very important,7 sehr wichtig,1516,self4
soep-is,soep-is-2012-haupt,self4,-1,No answer,Keine Angabe,1517,self4
soep-is,soep-is-2012-haupt,self3,1,1 Not at all important,1 gar nicht wichtig,1518,self3
soep-is,soep-is-2012-haupt,self3,2,2,2,1519,self3
soep-is,soep-is-2012-haupt,self3,3,3,3,1520,self3
soep-is,soep-is-2012-haupt,self3,4,4,4,1521,self3
soep-is,soep-is-2012-haupt,self3,5,5,5,1522,self3
soep-is,soep-is-2012-haupt,self3,6,6,6,1523,self3
soep-is,soep-is-2012-haupt,self3,7,7 Very important,7 sehr wichtig,1524,self3
soep-is,soep-is-2012-haupt,self3,-1,No answer,Keine Angabe,1525,self3
soep-is,soep-is-2012-haupt,ppol1,1,Very interested,Sehr stark,1526,ppol1
soep-is,soep-is-2012-haupt,ppol1,2,Moderately interested,Stark,1527,ppol1
soep-is,soep-is-2012-haupt,ppol1,3,Not so interested,Nicht so stark,1528,ppol1
soep-is,soep-is-2012-haupt,ppol1,4,Completely disinterested,Überhaupt nicht,1529,ppol1
soep-is,soep-is-2012-haupt,ppol1,-1,No answer,Keine Angabe,1530,ppol1
soep-is,soep-is-2012-haupt,ppol2,1,Yes,Ja,1531,ppol2
soep-is,soep-is-2012-haupt,ppol2,2,No,Nein,1532,ppol2
soep-is,soep-is-2012-haupt,ppol2,-1,No answer,Keine Angabe,1533,ppol2
soep-is,soep-is-2012-haupt,ppol3,1,SPD,SPD,1534,ppol3
soep-is,soep-is-2012-haupt,ppol3,2,CDU,CDU,1535,ppol3
soep-is,soep-is-2012-haupt,ppol3,3,CSU,CSU,1536,ppol3
soep-is,soep-is-2012-haupt,ppol3,4,FDP,FDP,1537,ppol3
soep-is,soep-is-2012-haupt,ppol3,5,Bündnis 90/Die Grünen,Bündnis 90/Die Grünen,1538,ppol3
soep-is,soep-is-2012-haupt,ppol3,6,Die Linke,Die Linke,1539,ppol3
soep-is,soep-is-2012-haupt,ppol3,7,DVU/Republikaner/NPD,Republikaner/NPD,1540,ppol3
soep-is,soep-is-2012-haupt,ppol3,8,Piratenpartei,Piratenpartei,1541,ppol3
soep-is,soep-is-2012-haupt,ppol3,9,Other,Andere,1542,ppol3
soep-is,soep-is-2012-haupt,ppol3,-1,No answer,Keine Angabe,1543,ppol3
soep-is,soep-is-2012-haupt,pfamst,1,"Married, living together with my spouse","Verheiratet, mit Ehepartner zusammenlebend",1544,pfamst
soep-is,soep-is-2012-haupt,pfamst,2,"Registered parntership, living together",Eingetragene gleichgeschlechtliche Partnerschaft zusammenlebend,1545,pfamst
soep-is,soep-is-2012-haupt,pfamst,3,"Married, living (permanently) separated from my spouse","Verheiratet, dauernd getrennt lebend",1546,pfamst
soep-is,soep-is-2012-haupt,pfamst,4,"Registered parntership, living separately",Eingetragene gleichgeschlechtliche Partnerschaft getrennt lebend,1547,pfamst
soep-is,soep-is-2012-haupt,pfamst,5,Single,Ledig,1548,pfamst
soep-is,soep-is-2012-haupt,pfamst,6,Divorced / registered parntership annulled,Geschieden / eingetragene gleichgeschlechtliche Partnerschaft aufgehoben,1549,pfamst
soep-is,soep-is-2012-haupt,pfamst,7,Widowed / life partner from registered partnership deceased,Verwitwet / Lebenspartner/-in aus eingetragener gleichgeschlechtlicher Partnerschaft verstorben,1550,pfamst
soep-is,soep-is-2012-haupt,pfamst,-1,No answer,Keine Angabe,1551,pfamst
soep-is,soep-is-2012-haupt,pp1,1,Yes,Ja,1552,pp1
soep-is,soep-is-2012-haupt,pp1,2,No,Nein,1553,pp1
soep-is,soep-is-2012-haupt,pp1,-1,No answer,Keine Angabe,1554,pp1
soep-is,soep-is-2012-haupt,pp2,1,Yes,Ja,1555,pp2
soep-is,soep-is-2012-haupt,pp2,2,No,Nein,1556,pp2
soep-is,soep-is-2012-haupt,pp2,-1,No answer,Keine Angabe,1557,pp2
soep-is,soep-is-2012-haupt,psta1,1,Yes,Ja,1558,psta1
soep-is,soep-is-2012-haupt,psta1,2,No,Nein,1559,psta1
soep-is,soep-is-2012-haupt,psta1,-1,No answer,Keine Angabe,1560,psta1
soep-is,soep-is-2012-haupt,lsta1,1,Yes,Ja,1561,lsta1
soep-is,soep-is-2012-haupt,lsta1,2,No,Nein,1562,lsta1
soep-is,soep-is-2012-haupt,lsta1,-1,No answer,Keine Angabe,1563,lsta1
soep-is,soep-is-2012-haupt,lsta1a,1,Yes,Ja,1564,lsta1a
soep-is,soep-is-2012-haupt,lsta1a,2,No,Nein,1565,lsta1a
soep-is,soep-is-2012-haupt,lsta1a,-1,No answer,Keine Angabe,1566,lsta1a
soep-is,soep-is-2012-haupt,lsta3,1,Since birth,Seit Geburt,1567,lsta3
soep-is,soep-is-2012-haupt,lsta3,2,At a later date,Erst später erworben,1568,lsta3
soep-is,soep-is-2012-haupt,lsta3,-1,No answer,Keine Angabe,1569,lsta3
soep-is,soep-is-2012-haupt,mspr,1,Arabic,Arabisch,1570,mspr
soep-is,soep-is-2012-haupt,mspr,2,Bulgarian,Bulgarisch,1571,mspr
soep-is,soep-is-2012-haupt,mspr,3,Chinese,Chinesisch,1572,mspr
soep-is,soep-is-2012-haupt,mspr,4,Danish,Dänisch,1573,mspr
soep-is,soep-is-2012-haupt,mspr,5,German,Deutsch,1574,mspr
soep-is,soep-is-2012-haupt,mspr,6,English,Englisch,1575,mspr
soep-is,soep-is-2012-haupt,mspr,7,Finnish,Finnisch,1576,mspr
soep-is,soep-is-2012-haupt,mspr,8,French,Französisch,1577,mspr
soep-is,soep-is-2012-haupt,mspr,9,Greek,Griechisch,1578,mspr
soep-is,soep-is-2012-haupt,mspr,10,Indian,Indisch,1579,mspr
soep-is,soep-is-2012-haupt,mspr,11,Italian,Italienisch,1580,mspr
soep-is,soep-is-2012-haupt,mspr,12,Japanese,Japanisch,1581,mspr
soep-is,soep-is-2012-haupt,mspr,13,Dutch,Niederländisch,1582,mspr
soep-is,soep-is-2012-haupt,mspr,14,Norwegian,Norwegisch,1583,mspr
soep-is,soep-is-2012-haupt,mspr,15,Polish,Polnisch,1584,mspr
soep-is,soep-is-2012-haupt,mspr,16,Portuguese,Portugiesisch,1585,mspr
soep-is,soep-is-2012-haupt,mspr,17,Romanian,Rumänisch,1586,mspr
soep-is,soep-is-2012-haupt,mspr,18,Russian,Russisch,1587,mspr
soep-is,soep-is-2012-haupt,mspr,19,Swedish,Schwedisch,1588,mspr
soep-is,soep-is-2012-haupt,mspr,20,Slovak,Slowakisch,1589,mspr
soep-is,soep-is-2012-haupt,mspr,21,Spanish,Spanisch,1590,mspr
soep-is,soep-is-2012-haupt,mspr,22,Czech,Tschechisch,1591,mspr
soep-is,soep-is-2012-haupt,mspr,23,Turkish,Türkisch,1592,mspr
