study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2011,q11703,12,December,Dezember,85,q11703
soep-is,soep-is-2011,q11704,1,Yes,Ja,86,q11704
soep-is,soep-is-2011,q11704,2,No,Nein,87,q11704
soep-is,soep-is-2011,q118,-2,No answer,Keine Angabe,88,q118
soep-is,soep-is-2011,q118,1,Yes,Ja,89,q118
soep-is,soep-is-2011,q118,2,"No, another person will answer the questions about that child or already did","Nein, eine andere Person beantwortet die Fragen zum Kind beziehungsweise hat die Fragen bereits beantwortet",90,q118
soep-is,soep-is-2011,q12,1,Before 1919,vor 1919,91,q12
soep-is,soep-is-2011,q12,2,1919 to 1948,1919 bis 1948,92,q12
soep-is,soep-is-2011,q12,3,1949 to 1971,1949 bis 1971,93,q12
soep-is,soep-is-2011,q12,4,1972 to 1980,1972 bis 1980,94,q12
soep-is,soep-is-2011,q12,5,1981 to 1990,1981 bis 1990,95,q12
soep-is,soep-is-2011,q12,6,1991 to 2000,1991 bis 2000,96,q12
soep-is,soep-is-2011,q12,7,2001 and later,2001 und später,97,q12
soep-is,soep-is-2011,q12,9,No answer,Keine Angabe,98,q12
soep-is,soep-is-2011,q121,-1,No answer,Keine Angabe,99,q121
soep-is,soep-is-2011,q121,1,U1,U1,100,q121
soep-is,soep-is-2011,q121,2,U2,U2,101,q121
soep-is,soep-is-2011,q121,3,U3,U3,102,q121
soep-is,soep-is-2011,q121,4,U4,U4,103,q121
soep-is,soep-is-2011,q121,5,U5,U5,104,q121
soep-is,soep-is-2011,q121,6,U6,U6,105,q121
soep-is,soep-is-2011,q121,7,U7,U7,106,q121
soep-is,soep-is-2011,q121,8,U8,U8,107,q121
soep-is,soep-is-2011,q121,9,U9,U9,108,q121
soep-is,soep-is-2011,q121,10,Not undergone any of these examinations,Es wurde keine dieser Untersuchungen durchgeführt,109,q121
soep-is,soep-is-2011,q122,-1,No answer,Keine Angabe,110,q122
soep-is,soep-is-2011,q122,1,"Yes, in one of the U-screenings","Ja, bei der U-Untersuchung",111,q122
soep-is,soep-is-2011,q122,2,"Yes, in another check-up","Ja, bei einer anderen Untersuchung",112,q122
soep-is,soep-is-2011,q122,3,No,Nein,113,q122
soep-is,soep-is-2011,q124,-2,No answer,Keine Angabe,116,q124
soep-is,soep-is-2011,q124,1,Yes,Ja,117,q124
soep-is,soep-is-2011,q124,2,No,Nein,118,q124
soep-is,soep-is-2011,q127,-2,No answer,Keine Angabe,122,q127
soep-is,soep-is-2011,q127,1,Yes,Ja,123,q127
soep-is,soep-is-2011,q127,2,No,Nein,124,q127
soep-is,soep-is-2011,q130,1,1  Absolutly does not apply,1 Trifft überhaupt nicht zu,128,q130
soep-is,soep-is-2011,q130,2,2,2,129,q130
soep-is,soep-is-2011,q130,3,3,3,130,q130
soep-is,soep-is-2011,q130,4,4,4,131,q130
soep-is,soep-is-2011,q130,5,5,5,132,q130
soep-is,soep-is-2011,q130,6,6,6,133,q130
soep-is,soep-is-2011,q130,7,7  Fully applies,7 Trifft voll und ganz zu,134,q130
soep-is,soep-is-2011,q1301,98,No,Nein,135,q1301
soep-is,soep-is-2011,q1301,99,No answer,Keine Angabe,136,q1301
soep-is,soep-is-2011,q1301,1972,1972,1972,137,q1301
soep-is,soep-is-2011,q1301,1973,1973,1973,138,q1301
soep-is,soep-is-2011,q1301,1974,1974,1974,139,q1301
soep-is,soep-is-2011,q1301,1975,1975,1975,140,q1301
soep-is,soep-is-2011,q1301,1976,1976,1976,141,q1301
soep-is,soep-is-2011,q1301,1977,1977,1977,142,q1301
soep-is,soep-is-2011,q1301,1978,1978,1978,143,q1301
soep-is,soep-is-2011,q1301,1979,1979,1979,144,q1301
soep-is,soep-is-2011,q1301,1980,1980,1980,145,q1301
soep-is,soep-is-2011,q1302,98,No,Nein,146,q1302
