study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,CSM12_IS_W4,csm0101,,,soep-is-2012-haupt,csm0101,Q234,csm0101,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0102,,,soep-is-2012-haupt,csm0102,Q234,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm02,,,soep-is-2012-haupt,csm02,Q235,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm03,,,soep-is-2012-haupt,csm03,Q236,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0401,,,soep-is-2012-haupt,csm0401,Q237a,csm0401,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0402,,,soep-is-2012-haupt,csm0402,Q237a,csm0402,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0403,,,soep-is-2012-haupt,csm0403,Q237a,csm0403,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0404,,,soep-is-2012-haupt,csm0404,Q237a,csm0404,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0405,,,soep-is-2012-haupt,csm0405,Q237a,csm0405,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0406,,,soep-is-2012-haupt,csm0406,Q237a,csm0406,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0407,,,soep-is-2012-haupt,csm0407,Q237b,csm0407,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0408,,,soep-is-2012-haupt,csm0408,Q237b,csm0408,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0409,,,soep-is-2012-haupt,csm0409,Q237b,csm0409,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0410,,,soep-is-2012-haupt,csm0410,Q237b,csm0410,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0411,,,soep-is-2012-haupt,csm0411,Q237b,csm0411,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0412,,,soep-is-2012-haupt,csm0412,Q237b,csm0412,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0501,,,soep-is-2012-haupt,csm0501,Q230,csm0501,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0502,,,soep-is-2012-haupt,csm0502,Q230,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm06,,,soep-is-2012-haupt,csm06,Q231,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm07,,,soep-is-2012-haupt,csm07,Q232,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0801,,,soep-is-2012-haupt,csm0801,Q233a,csm0801,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0802,,,soep-is-2012-haupt,csm0802,Q233a,csm0802,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0803,,,soep-is-2012-haupt,csm0803,Q233a,csm0803,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0804,,,soep-is-2012-haupt,csm0804,Q233a,csm0804,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0805,,,soep-is-2012-haupt,csm0805,Q233a,csm0805,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0806,,,soep-is-2012-haupt,csm0806,Q233a,csm0806,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0807,,,soep-is-2012-haupt,csm0807,Q233b,csm0807,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0808,,,soep-is-2012-haupt,csm0808,Q233b,csm0808,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0809,,,soep-is-2012-haupt,csm0809,Q233b,csm0809,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0810,,,soep-is-2012-haupt,csm0810,Q233b,csm0810,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0811,,,soep-is-2012-haupt,csm0811,Q233b,csm0811,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0812,,,soep-is-2012-haupt,csm0812,Q233b,csm0812,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0901,,,soep-is-2012-haupt,csm0901,Q226,csm0901,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0902,,,soep-is-2012-haupt,csm0902,Q226,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm10,,,soep-is-2012-haupt,csm10,Q227,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm11,,,soep-is-2012-haupt,csm11,Q228,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1201,,,soep-is-2012-haupt,csm1201,Q229a,csm1201,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1202,,,soep-is-2012-haupt,csm1202,Q229a,csm1202,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1203,,,soep-is-2012-haupt,csm1203,Q229a,csm1203,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1204,,,soep-is-2012-haupt,csm1204,Q229a,csm1204,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1205,,,soep-is-2012-haupt,csm1205,Q229a,csm1205,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1206,,,soep-is-2012-haupt,csm1206,Q229a,csm1206,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1207,,,soep-is-2012-haupt,csm1207,Q229b,csm1207,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1208,,,soep-is-2012-haupt,csm1208,Q229b,csm1208,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1209,,,soep-is-2012-haupt,csm1209,Q229b,csm1209,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1210,,,soep-is-2012-haupt,csm1210,Q229b,csm1210,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1211,,,soep-is-2012-haupt,csm1211,Q229b,csm1211,,,,,raw,2012
soep-is,CSM12_IS_W4,csm1212,,,soep-is-2012-haupt,csm1212,Q229b,csm1212,,,,,raw,2012
soep-is,CSM12_IS_W4,datj,,,,datj,,,,,,,raw,2012
soep-is,CSM12_IS_W4,datm,,,,datm,,,,,,,raw,2012
soep-is,CSM12_IS_W4,datt,,,,datt,,,,,,,raw,2012
soep-is,CSM12_IS_W4,form,,,,form,,,,,,,raw,2012
soep-is,CSM12_IS_W4,hnr,,,,hnr,,,,,,,raw,2012
soep-is,CSM12_IS_W4,intnr,,,,intnr,,,,,,,raw,2012
soep-is,CSM12_IS_W4,jahr,,,,jahr,,,,,,,raw,2012
soep-is,CSM12_IS_W4,name,,,soep-is-2012-haupt,name,A000C,name,,,,,raw,2012
soep-is,CSM12_IS_W4,pnr,,,,pnr,,,,,,,raw,2012
soep-is,CSM12_IS_W4,pnrfest,,,,pnrfest,,,,,,,raw,2012
soep-is,CSM12_IS_W4,respid,,,,respid,,,,,,,raw,2012
soep-is,CSM12_IS_W4,s1s2split,,,,s1s2split,,,,,,,raw,2012
soep-is,CSM12_IS_W4,stichu,,,,stichu,,,,,,,raw,2012
soep-is,CSM12_IS_W4,urhh,,,,urhh,,,,,,,raw,2012
soep-is,DRM12_IS_W4,datj,,,,datj,,,,,,,raw,2012
soep-is,DRM12_IS_W4,datm,,,,datm,,,,,,,raw,2012
soep-is,DRM12_IS_W4,datt,,,,datt,,,,,,,raw,2012
soep-is,DRM12_IS_W4,drm_r_akt1,,,,drm_r_akt1,,,,,,,raw,2012
soep-is,DRM12_IS_W4,drm_r_akt2,,,,drm_r_akt2,,,,,,,raw,2012
soep-is,DRM12_IS_W4,drm_r_akt3,,,,drm_r_akt3,,,,,,,raw,2012
soep-is,DRM12_IS_W4,drm_wt,,,,drm_wt,,,,,,,raw,2012
soep-is,DRM12_IS_W4,drmdau,,,,drmdau,,,,,,,raw,2012
soep-is,DRM12_IS_W4,eb_drm1_1,,,,eb_drm1_1,,,,,,,raw,2012
soep-is,DRM12_IS_W4,eb_drm1_2,,,,eb_drm1_2,,,,,,,raw,2012
soep-is,DRM12_IS_W4,eb_drm2,,,soep-is-2012-haupt,eb_drm2,Q249,,,,,,raw,2012
soep-is,DRM12_IS_W4,eb_drm2o,,,soep-is-2012-haupt,eb_drm2o,Q249,eb_drm2o,,,,,raw,2012
soep-is,DRM12_IS_W4,form,,,,form,,,,,,,raw,2012
soep-is,DRM12_IS_W4,hnr,,,,hnr,,,,,,,raw,2012
soep-is,DRM12_IS_W4,intnr,,,,intnr,,,,,,,raw,2012
soep-is,DRM12_IS_W4,jahr,,,,jahr,,,,,,,raw,2012
soep-is,DRM12_IS_W4,name,,,soep-is-2012-haupt,name,A000C,name,,,,,raw,2012
soep-is,DRM12_IS_W4,pnr,,,,pnr,,,,,,,raw,2012
soep-is,DRM12_IS_W4,pnrfest,,,,pnrfest,,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_1,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_10,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_11,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_12,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_13,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_14,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_15,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_16,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_17,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_18,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_19,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_2,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_20,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_21,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_22,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_23,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_24,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_25,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_26,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_27,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_28,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_29,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_3,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_30,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_4,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_5,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_6,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_7,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_8,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q10drm_9,,,soep-is-2012-haupt,q10drm,Q245,,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_10_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_11_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_12_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_13_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_14_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_15_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_16_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_17_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_18_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_19_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_2,,,soep-is-2012-haupt,q11drm_x_2,Q246,q11drm_x_2,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_3,,,soep-is-2012-haupt,q11drm_x_3,Q246,q11drm_x_3,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_4,,,soep-is-2012-haupt,q11drm_x_4,Q246,q11drm_x_4,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_5,,,soep-is-2012-haupt,q11drm_x_5,Q246,q11drm_x_5,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_6,,,soep-is-2012-haupt,q11drm_x_6,Q246,q11drm_x_6,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_7,,,soep-is-2012-haupt,q11drm_x_7,Q246,q11drm_x_7,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_8,,,soep-is-2012-haupt,q11drm_x_8,Q246,q11drm_x_8,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_1_9,,,soep-is-2012-haupt,q11drm_x_9,Q246,q11drm_x_9,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_20_1,,,soep-is-2012-haupt,q11drm_x_1,Q246,q11drm_x_1,,,,,raw,2012
soep-is,DRM12_IS_W4,q11drm_20_10,,,soep-is-2012-haupt,q11drm_x_10,Q246,q11drm_x_10,,,,,raw,2012
