study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,MEM12_IS,mem0903aa,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ab,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ac,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ad,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ae,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903af,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ag,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ah,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903ai,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903aj,,,soep-is-2012-aufwuchs,mem0903a,Q200,mem0903a,,,,,,
soep-is,MEM12_IS,mem0903b,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903c,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903d,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903e,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903f,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903g,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903h,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903i,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0903j,,,soep-is-2012-aufwuchs,mem0903,Q199,mem0903,,,,,,
soep-is,MEM12_IS,mem0904a,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904aa,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ab,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ac,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ad,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ae,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904af,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
